Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.05770900245862,12.6895974990725,0.000000000000000E+000,12.2366373132743,0.000000000000000E+000,0.336914819887382,0.336914819887382,0.336914819887382,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.424450673405067 
 01/01  02:00:00,0.949816704349156,13.4552570225686,0.000000000000000E+000,13.0968047615938,0.000000000000000E+000,0.360598055199847,0.360598055199847,0.360598055199847,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.332202509772240 
 01/01  03:00:00,0.908174767086738,13.7716097007671,0.000000000000000E+000,13.4396648737378,0.000000000000000E+000,0.370038120306968,0.370038120306968,0.370038120306968,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.305999420768185 
 01/01  04:00:00,0.890544196627710,13.6335889180534,0.000000000000000E+000,13.2951798187614,0.000000000000000E+000,0.366059972141952,0.366059972141952,0.366059972141952,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.312828906960628 
 01/01  05:00:00,0.891442374475674,13.8185235057703,0.000000000000000E+000,13.4070762405114,0.000000000000000E+000,0.369140848187778,0.369140848187778,0.369140848187778,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.386833368116691 
 01/01  06:00:00,0.945166086704570,14.0682766740450,0.000000000000000E+000,13.3360260289658,0.000000000000000E+000,0.367184602479666,0.367184602479666,0.367184602479666,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.704783514110655 
 01/01  07:00:00,1.16940222186714,14.5005793142301,0.000000000000000E+000,13.1670047117154,0.000000000000000E+000,0.362530890418036,0.362530890418036,0.362530890418036,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30183903374188 
 01/01  08:00:00,1.50415269030313,14.8901169670074,0.000000000000000E+000,13.3816841821993,0.000000000000000E+000,0.368441721415139,0.368441721415139,0.368441721415139,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47471136529215 
 01/01  09:00:00,1.46215392079589,14.5807323685731,0.000000000000000E+000,13.1097053763604,0.000000000000000E+000,0.360953251500042,0.360953251500042,0.360953251500042,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44251747981955 
 01/01  10:00:00,1.26405987732069,13.3602448475919,0.000000000000000E+000,12.0212552916975,0.000000000000000E+000,0.330984645350966,0.330984645350966,0.330984645350966,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31472565543494 
 01/01  11:00:00,1.27619759753711,13.7829640559830,0.000000000000000E+000,12.5997773075018,0.000000000000000E+000,0.346913256763200,0.346913256763200,0.346913256763200,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.15835220125642 
 01/01  12:00:00,1.22464705577781,11.1157975958449,0.000000000000000E+000,10.0764075585662,0.000000000000000E+000,0.277436598862289,0.277436598862289,0.277436598862289,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01454788143043 
 01/01  13:00:00,1.19544459741906,10.6738887719705,0.000000000000000E+000,9.74318072307898,0.000000000000000E+000,0.268261769504713,0.268261769504713,0.268261769504713,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.906284367337744 
 01/01  14:00:00,1.14189438481306,9.60474097686591,0.000000000000000E+000,8.74107696345150,0.000000000000000E+000,0.240670561312484,0.240670561312484,0.240670561312484,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.838395774648075 
 01/01  15:00:00,1.14116400687901,9.54490589438636,0.000000000000000E+000,8.74396721937371,0.000000000000000E+000,0.240750139551875,0.240750139551875,0.240750139551875,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.774247623644876 
 01/01  16:00:00,1.22464837801086,10.0183438101325,0.000000000000000E+000,9.20826440512510,0.000000000000000E+000,0.253533766189395,0.253533766189395,0.253533766189395,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.781904672049954 
 01/01  17:00:00,1.49725888477893,10.4211094789141,0.000000000000000E+000,9.52395362802967,0.000000000000000E+000,0.262225727465382,0.262225727465382,0.262225727465382,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.863830079792417 
 01/01  18:00:00,2.03023845203648,12.1528526843090,0.000000000000000E+000,11.0861223722321,0.000000000000000E+000,0.305237364372827,0.305237364372827,0.305237364372827,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.02624482623656 
 01/01  19:00:00,2.37186833601118,12.2231574040429,0.000000000000000E+000,10.9933958679044,0.000000000000000E+000,0.302684299122584,0.302684299122584,0.302684299122584,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18580651796540 
 01/01  20:00:00,2.29170166696826,10.6176980044266,0.000000000000000E+000,9.35476376906283,0.000000000000000E+000,0.257567374896679,0.257567374896679,0.257567374896679,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.21756401321270 
 01/01  21:00:00,2.13899080897943,10.6389805422597,0.000000000000000E+000,9.46086244759613,0.000000000000000E+000,0.260488620027443,0.260488620027443,0.260488620027443,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13118810468742 
 01/01  22:00:00,1.97194909080514,10.7068408662641,0.000000000000000E+000,9.64477659475238,0.000000000000000E+000,0.265552380616039,0.265552380616039,0.265552380616039,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.01622992332490 
 01/01  23:00:00,1.65814958572192,11.1011836759764,0.000000000000000E+000,10.2253659792795,0.000000000000000E+000,0.281537913480062,0.281537913480062,0.281537913480062,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.836153942198610 
 01/01  24:00:00,1.32608367735148,10.8342242578696,0.000000000000000E+000,10.1644198729696,0.000000000000000E+000,0.279859866978842,0.279859866978842,0.279859866978842,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.635337320277408 
 01/02  01:00:00,1.00079356063942,10.8445884457893,0.000000000000000E+000,10.4082411053033,0.000000000000000E+000,0.286573066403925,0.286573066403925,0.286573066403925,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.407837828092885 
