Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,2.29190573787390,0.000000000000000E+000,1.45004128828711,0.000000000000000E+000,4.519334444287135E-002,1.49523463272998,4.519334444287135E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.405549349774837,0.128171790666654 
 01/01  02:00:00,2.25165720530515,0.000000000000000E+000,1.56514922315333,0.000000000000000E+000,4.895506053063237E-002,1.61410428368396,4.895506053063237E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.373404125092925,8.251094562612674E-002 
 01/01  03:00:00,2.30442262160946,0.000000000000000E+000,1.67052055608886,0.000000000000000E+000,5.242690183638236E-002,1.72294745792524,5.242690183638236E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.369074801903441,7.044381929305785E-002 
 01/01  04:00:00,2.33151207086560,0.000000000000000E+000,1.70650266012700,0.000000000000000E+000,5.365478108254691E-002,1.76015744120955,5.365478108254691E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.363879614076061,7.386854271262189E-002 
 01/01  05:00:00,2.37015631986023,0.000000000000000E+000,1.71061746506569,0.000000000000000E+000,5.380323890688474E-002,1.76442070397257,5.380323890688474E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.350134012949453,0.110148686819640 
 01/01  06:00:00,2.50904757959952,0.000000000000000E+000,1.63850780542554,0.000000000000000E+000,5.154886612818296E-002,1.69005667155372,5.154886612818296E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.390721417850856,0.268561246402332 
 01/01  07:00:00,2.81405024386964,0.000000000000000E+000,1.44807856860879,0.000000000000000E+000,4.552607976097078E-002,1.49360464836977,4.552607976097078E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.451440175583357,0.565070266817857 
 01/01  08:00:00,3.75115752236359,0.000000000000000E+000,1.98537725717844,0.000000000000000E+000,6.229001487553481E-002,2.04766727205398,6.229001487553481E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.479689009394737,0.646750291692008 
 01/01  09:00:00,3.09079008633192,0.000000000000000E+000,1.40686358736593,0.000000000000000E+000,4.412147084309010E-002,1.45098505820902,4.412147084309010E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.405549349774837,0.627555024218462 
 01/01  10:00:00,2.76478308327372,0.000000000000000E+000,1.27912838147506,0.000000000000000E+000,4.013856427382267E-002,1.31926694574889,4.013856427382267E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.345155291281545,0.561744494175389 
