Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.921415165786251,2.42213896625896,0.000000000000000E+000,2.39417156551058,0.000000000000000E+000,5.978978575456811E-002,5.978978575456811E-002,5.978978575456811E-002,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803596522654 
 01/01  02:00:00,0.737701893690915,2.57511605296678,0.000000000000000E+000,2.54936544379093,0.000000000000000E+000,6.373628979247603E-002,6.373628979247603E-002,6.373628979247603E-002,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448864416175E-002 
 01/01  03:00:00,0.675236536028413,2.71135246204617,0.000000000000000E+000,2.68590041065787,0.000000000000000E+000,6.730735608876236E-002,6.730735608876236E-002,6.730735608876236E-002,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067959252E-002 
 01/01  04:00:00,0.665670997646822,2.68117386755098,0.000000000000000E+000,2.65608008550774,0.000000000000000E+000,6.662778606827455E-002,6.662778606827455E-002,6.662778606827455E-002,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024456E-002 
 01/01  05:00:00,0.712259124031902,2.65839028353549,0.000000000000000E+000,2.63424442246770,0.000000000000000E+000,6.610156670547244E-002,6.610156670547244E-002,6.610156670547244E-002,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,0.978056339915574,2.63445424088360,0.000000000000000E+000,2.60750940055757,0.000000000000000E+000,6.550934587881978E-002,6.550934587881978E-002,6.550934587881978E-002,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.58951701848519,2.32830843659077,0.000000000000000E+000,2.29717632329441,0.000000000000000E+000,5.772286707751672E-002,5.772286707751672E-002,5.772286707751672E-002,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.02241038670041,2.38826799955784,0.000000000000000E+000,2.35518779669774,0.000000000000000E+000,5.907310867380218E-002,5.907310867380218E-002,5.907310867380218E-002,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,1.95748880684490,1.99466967652536,0.000000000000000E+000,1.96670227577699,0.000000000000000E+000,4.937504814366774E-002,4.937504814366774E-002,4.937504814366774E-002,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.71037055681989,1.86360567748639,0.000000000000000E+000,1.83980315787429,0.000000000000000E+000,4.626400074017126E-002,4.626400074017126E-002,4.626400074017126E-002,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.61491965693154,2.30165166327513,0.000000000000000E+000,2.27728934781137,0.000000000000000E+000,5.762780158114716E-002,5.762780158114716E-002,5.762780158114716E-002,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.51975059711676,1.57557441732552,0.000000000000000E+000,1.55120463791708,0.000000000000000E+000,3.922709242406106E-002,3.922709242406106E-002,3.922709242406106E-002,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266598225539 
 01/01  13:00:00,1.42045125714428,1.29985124577640,0.000000000000000E+000,1.27589198332583,0.000000000000000E+000,3.235577263216073E-002,3.235577263216073E-002,3.235577263216073E-002,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750546202930 
