Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.19148539127594,17.5407938701311,0.000000000000000E+000,17.0953524970833,0.000000000000000E+000,0.470691208704702,0.470691208704702,0.470691208704702,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.416931860654708 
 01/01  02:00:00,1.04753790366319,16.9986370984142,0.000000000000000E+000,16.6460071214774,0.000000000000000E+000,0.458319254513882,0.458319254513882,0.458319254513882,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.326380225734263 
 01/01  03:00:00,0.985059946317526,16.5592345486888,0.000000000000000E+000,16.2321097217493,0.000000000000000E+000,0.446923299537759,0.446923299537759,0.446923299537759,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.301179420678324 
 01/01  04:00:00,0.960147885610977,16.1571689637746,0.000000000000000E+000,15.8231632955313,0.000000000000000E+000,0.435663661125219,0.435663661125219,0.435663661125219,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.308425475911928 
 01/01  05:00:00,0.946758779171220,15.8235652758589,0.000000000000000E+000,15.4161501718984,0.000000000000000E+000,0.424457252883325,0.424457252883325,0.424457252883325,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.382801206818304 
 01/01  06:00:00,0.989202695291309,15.6639941630277,0.000000000000000E+000,14.9354214131246,0.000000000000000E+000,0.411221211066406,0.411221211066406,0.411221211066406,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.701105618934580 
 01/01  07:00:00,1.23024504586331,16.7069707678005,0.000000000000000E+000,15.3767964050739,0.000000000000000E+000,0.423373714414206,0.423373714414206,0.423373714414206,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.29843879395385 
 01/01  08:00:00,1.55493160991387,16.7312153219405,0.000000000000000E+000,15.2259581225509,0.000000000000000E+000,0.419220641025881,0.419220641025881,0.419220641025881,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47153577987367 
 01/01  09:00:00,1.49801010805673,15.8792745930005,0.000000000000000E+000,14.4119905031898,0.000000000000000E+000,0.396809438760883,0.396809438760883,0.396809438760883,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.43877457741756 
 01/01  10:00:00,1.32488965033222,15.5663849843901,0.000000000000000E+000,14.2305729775141,0.000000000000000E+000,0.391814418362498,0.391814418362498,0.391814418362498,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31154810641656 
 01/01  11:00:00,1.36343270608620,16.9481484551970,0.000000000000000E+000,15.7681282415930,0.000000000000000E+000,0.434148365312292,0.434148365312292,0.434148365312292,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.15518566637927 
 01/01  12:00:00,1.32197299386987,14.6473052654605,0.000000000000000E+000,13.6112541586795,0.000000000000000E+000,0.374762536954345,0.374762536954345,0.374762536954345,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01120895093274 
