Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.03320679652577,11.5174967891589,0.000000000000000E+000,11.0648335081560,0.000000000000000E+000,0.312412613954527,0.312412613954527,0.312412613954527,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.424153768609879 
 01/01  02:00:00,0.902765935790963,11.4618721807538,0.000000000000000E+000,11.1028824598131,0.000000000000000E+000,0.313547286641651,0.313547286641651,0.313547286641651,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.332739969738068 
 01/01  03:00:00,0.853486995184667,11.4908352508963,0.000000000000000E+000,11.1570917937481,0.000000000000000E+000,0.315350348404896,0.315350348404896,0.315350348404896,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.307798050887085 
 01/01  04:00:00,0.843788129866503,11.6419385247928,0.000000000000000E+000,11.3016023736274,0.000000000000000E+000,0.319303905380745,0.319303905380745,0.319303905380745,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.314755958834085 
 01/01  05:00:00,0.848306749528240,11.9497993600526,0.000000000000000E+000,11.5363940580039,0.000000000000000E+000,0.326005223240345,0.326005223240345,0.326005223240345,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.388791404906558 
 01/01  06:00:00,0.908109295960969,12.4158971675201,0.000000000000000E+000,11.6817378005783,0.000000000000000E+000,0.330127811736066,0.330127811736066,0.330127811736066,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.706692235973359 
 01/01  07:00:00,1.15440209151950,13.6301714198259,0.000000000000000E+000,12.2946945228379,0.000000000000000E+000,0.347530760070394,0.347530760070394,0.347530760070394,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30374132821526 
 01/01  08:00:00,1.46333280436583,13.1049987559284,0.000000000000000E+000,11.5952538756307,0.000000000000000E+000,0.327621835477839,0.327621835477839,0.327621835477839,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47602346078176 
 01/01  09:00:00,1.42563694266897,12.9628022384363,0.000000000000000E+000,11.4908568049732,0.000000000000000E+000,0.324436273373122,0.324436273373122,0.324436273373122,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44343592106998 
 01/01  10:00:00,1.22943597712487,11.8396125582601,0.000000000000000E+000,10.4989981584585,0.000000000000000E+000,0.296360745155145,0.296360745155145,0.296360745155145,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31635049934208 
 01/01  11:00:00,1.22837208819908,11.7700816219060,0.000000000000000E+000,10.5853451068236,0.000000000000000E+000,0.299087747425176,0.299087747425176,0.299087747425176,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.15990196785769 
 01/01  12:00:00,1.16757021806912,8.87089726502355,0.000000000000000E+000,7.82984469285413,0.000000000000000E+000,0.220359761153595,0.220359761153595,0.220359761153595,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01621041632113 
 01/01  13:00:00,1.10337320046982,7.19141626076930,0.000000000000000E+000,6.25851522282895,0.000000000000000E+000,0.176190372555474,0.176190372555474,0.176190372555474,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.908477356386601 
 01/01  14:00:00,1.05110899543903,6.19061666145545,0.000000000000000E+000,5.32389426163209,0.000000000000000E+000,0.149885171938454,0.149885171938454,0.149885171938454,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.841454161057029 
 01/01  15:00:00,1.02908764294958,5.37714907052823,0.000000000000000E+000,4.57240161800995,0.000000000000000E+000,0.128673775622441,0.128673775622441,0.128673775622441,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.778056401150540 
 01/01  16:00:00,1.11055091384550,5.76139865682432,0.000000000000000E+000,4.94800563486451,0.000000000000000E+000,0.139436302024035,0.139436302024035,0.139436302024035,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.785218289002348 
 01/01  17:00:00,1.39612134448524,6.60554268707153,0.000000000000000E+000,5.70398165424301,0.000000000000000E+000,0.161088187171693,0.161088187171693,0.161088187171693,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.868235261736534 
 01/01  18:00:00,1.94769362926776,8.93976308231394,0.000000000000000E+000,7.86868264531422,0.000000000000000E+000,0.222692541604106,0.222692541604106,0.222692541604106,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03059495115941 
 01/01  19:00:00,2.27665165039548,8.59040423188128,0.000000000000000E+000,7.35829246134848,0.000000000000000E+000,0.207467613506876,0.207467613506876,0.207467613506876,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18815675235961 
 01/01  20:00:00,2.25818198598862,9.20125258458929,0.000000000000000E+000,7.93412057950558,0.000000000000000E+000,0.224047693917030,0.224047693917030,0.224047693917030,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22176178293264 
 01/01  21:00:00,2.12800646748858,10.0135562513205,0.000000000000000E+000,8.83169076646413,0.000000000000000E+000,0.249504278536601,0.249504278536601,0.249504278536601,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13493549488017 
 01/01  22:00:00,1.98234013326943,10.8293976136430,0.000000000000000E+000,9.76583168721038,0.000000000000000E+000,0.275943423080326,0.275943423080326,0.275943423080326,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.01773157824580 
 01/01  23:00:00,1.68222788116465,11.6894242671445,0.000000000000000E+000,10.8127051688766,0.000000000000000E+000,0.305616208922785,0.305616208922785,0.305616208922785,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.837055343769550 
 01/01  24:00:00,1.38187824832483,12.5434286032438,0.000000000000000E+000,11.8729963949545,0.000000000000000E+000,0.335654437952199,0.335654437952199,0.335654437952199,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.635965143666727 
 01/02  01:00:00,1.07535554857161,13.2094463312942,0.000000000000000E+000,12.7727844454005,0.000000000000000E+000,0.361135054336121,0.361135054336121,0.361135054336121,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.408152373500535 
 01/02  02:00:00,0.967102016422266,13.8534655993999,0.000000000000000E+000,13.5032420475603,0.000000000000000E+000,0.381830394505918,0.381830394505918,0.381830394505918,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.323973800636994 
 01/02  03:00:00,0.934965467776501,14.4502954627079,0.000000000000000E+000,14.1239733094902,0.000000000000000E+000,0.399440061512952,0.399440061512952,0.399440061512952,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.300376746956544 
 01/02  04:00:00,0.932365335506863,14.8032141321864,0.000000000000000E+000,14.4709468860747,0.000000000000000E+000,0.409246516285407,0.409246516285407,0.409246516285407,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.306687053780275 
 01/02  05:00:00,0.936236785251351,15.1282972386147,0.000000000000000E+000,14.7300627426734,0.000000000000000E+000,0.416606416715858,0.416606416715858,0.416606416715858,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.373620598799201 
 01/02  06:00:00,0.994913612983817,15.5788612558886,0.000000000000000E+000,14.8854543754191,0.000000000000000E+000,0.421028824636440,0.421028824636440,0.421028824636440,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.665939749500996 
 01/02  07:00:00,1.23712900207772,16.8273286038938,0.000000000000000E+000,15.5828831628221,0.000000000000000E+000,0.440883191346529,0.440883191346529,0.440883191346529,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.21270987229885 
 01/02  08:00:00,1.55698109875893,17.0322031964820,0.000000000000000E+000,15.6331289198480,0.000000000000000E+000,0.442431508719599,0.442431508719599,0.442431508719599,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.36535285711805 
 01/02  09:00:00,1.49003177888744,16.2470805551856,0.000000000000000E+000,14.8917042114118,0.000000000000000E+000,0.421268436433621,0.421268436433621,0.421268436433621,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.32686683138064 
 01/02  10:00:00,1.30694165783879,16.0418925160511,0.000000000000000E+000,14.8097534475588,0.000000000000000E+000,0.418897520359795,0.418897520359795,0.418897520359795,0.154879098812700,3.374420951484601E-002,0.330033759705594,0.352275055756258,1.20787516803289 
