Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.744147614402143,3.92070619947884,0.000000000000000E+000,3.54316067633036,0.000000000000000E+000,0.101579459834171,0.101579459834171,0.101579459834171,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.379618189865542,0.351395586439794 
 01/01  02:00:00,0.641934730765293,4.19318983717946,0.000000000000000E+000,3.88904003186887,0.000000000000000E+000,0.110768522500960,0.110768522500960,0.110768522500960,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.349528357362187,0.280072601775786 
 01/01  03:00:00,0.608540311332446,4.54381327630107,0.000000000000000E+000,4.25937814863321,0.000000000000000E+000,0.121107914176592,0.121107914176592,0.121107914176592,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.345475854668135,0.260637080116068 
 01/01  04:00:00,0.601552140609991,4.76721266008736,0.000000000000000E+000,4.47765345485606,0.000000000000000E+000,0.127332816307356,0.127332816307356,0.127332816307356,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.340612851435269,0.266096144859076 
 01/01  05:00:00,0.604888290765573,4.98325621895437,0.000000000000000E+000,4.63714051981545,0.000000000000000E+000,0.131689219265365,0.131689219265365,0.131689219265365,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.327746155381645,0.323538959012777 
 01/01  06:00:00,0.657659201001737,5.25482951500294,0.000000000000000E+000,4.65782376183814,0.000000000000000E+000,0.132212589070728,0.132212589070728,0.132212589070728,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.365738368138405,0.571811925697925 
 01/01  07:00:00,0.853116843435382,5.53142752207506,0.000000000000000E+000,4.46493669123691,0.000000000000000E+000,0.126606971914208,0.126606971914208,0.126606971914208,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.422574718422518,1.03738184070953 
 01/01  08:00:00,1.14270961235300,5.32540128852526,0.000000000000000E+000,4.12531126843174,0.000000000000000E+000,0.116641364628917,0.116641364628917,0.116641364628917,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.449017298501221,1.16915953717575 
 01/01  09:00:00,1.07823112335650,4.43850775805189,0.000000000000000E+000,3.27065286806240,0.000000000000000E+000,9.191227936135160E-002,9.191227936135160E-002,9.191227936135160E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.379618189865542,1.14170495328082 
 01/01  10:00:00,0.924707360843133,3.31073965762022,0.000000000000000E+000,2.24796626293833,0.000000000000000E+000,6.300523149175237E-002,6.300523149175237E-002,6.300523149175237E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.323085777283484,1.04051768393621 
