Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.923269158243208,7.22457000864874,0.000000000000000E+000,6.76734833030867,0.000000000000000E+000,0.202474975671967,0.202474975671967,0.202474975671967,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.428712165946992 
 01/01  02:00:00,0.808751680010904,7.69730323905286,0.000000000000000E+000,7.33370192509485,0.000000000000000E+000,0.219533030861594,0.219533030861594,0.219533030861594,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.337351562755393 
 01/01  03:00:00,0.766908391298658,7.98120072075333,0.000000000000000E+000,7.64373453093012,0.000000000000000E+000,0.228771744518890,0.228771744518890,0.228771744518890,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.311520783562072 
 01/01  04:00:00,0.760214996389411,8.22057359804637,0.000000000000000E+000,7.87692777530693,0.000000000000000E+000,0.235730771903654,0.235730771903654,0.235730771903654,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.318065630408065 
 01/01  05:00:00,0.757351742620032,8.27054006760679,0.000000000000000E+000,7.85366358587884,0.000000000000000E+000,0.235050216332137,0.235050216332137,0.235050216332137,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.392262584585789 
 01/01  06:00:00,0.810723619258988,8.51732546065811,0.000000000000000E+000,7.78004968300813,0.000000000000000E+000,0.232742135034085,0.232742135034085,0.232742135034085,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.709808646681452 
 01/01  07:00:00,1.03188753127204,8.86008540743727,0.000000000000000E+000,7.52143418113150,0.000000000000000E+000,0.225016199822937,0.225016199822937,0.225016199822937,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30691565753298 
 01/01  08:00:00,1.35083276064291,8.70731926874304,0.000000000000000E+000,7.19377105105204,0.000000000000000E+000,0.215121791754922,0.215121791754922,0.215121791754922,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47982679817506 
 01/01  09:00:00,1.30700121322152,8.35964736465960,0.000000000000000E+000,6.88351292321915,0.000000000000000E+000,0.205800543925671,0.205800543925671,0.205800543925671,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44762492904735 
 01/01  10:00:00,1.10668433520733,7.16098537168808,0.000000000000000E+000,5.81698917466862,0.000000000000000E+000,0.173609103237603,0.173609103237603,0.173609103237603,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31973229656002 
 01/01  11:00:00,1.10665402166111,7.11864019415652,0.000000000000000E+000,5.93015900976766,0.000000000000000E+000,0.177369680887201,0.177369680887201,0.177369680887201,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16364663716412 
 01/01  12:00:00,1.14484773408761,7.64990540864876,0.000000000000000E+000,6.60428325966407,0.000000000000000E+000,0.197637277172084,0.197637277172084,0.197637277172084,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.02077999313643 
 01/01  13:00:00,1.11190433318393,7.11300401766997,0.000000000000000E+000,6.17780360471154,0.000000000000000E+000,0.184721505269583,0.184721505269583,0.184721505269583,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.910776731404674 
 01/01  14:00:00,1.06816192165464,6.45594625327323,0.000000000000000E+000,5.58858575566661,0.000000000000000E+000,0.166938098154060,0.166938098154060,0.166938098154060,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.842092258840276 
 01/01  15:00:00,1.07007303769099,6.48464498331072,0.000000000000000E+000,5.68014916892039,0.000000000000000E+000,0.169659170363850,0.169659170363850,0.169659170363850,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.777804763022574 
 01/01  16:00:00,1.13239141326718,6.20760324108976,0.000000000000000E+000,5.39407984479531,0.000000000000000E+000,0.161276801445717,0.161276801445717,0.161276801445717,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.785348663336981 
 01/01  17:00:00,1.39718866336099,6.32493895357975,0.000000000000000E+000,5.42370576887906,0.000000000000000E+000,0.162155506047447,0.162155506047447,0.162155506047447,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.867907413608695 
 01/01  18:00:00,1.91269320281053,7.33880467874619,0.000000000000000E+000,6.26751422199489,0.000000000000000E+000,0.187692115146880,0.187692115146880,0.187692115146880,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03080497091098 
 01/01  19:00:00,2.22549530752771,6.47074283797007,0.000000000000000E+000,5.23691722271587,0.000000000000000E+000,0.156311270639110,0.156311270639110,0.156311270639110,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18987059708103 
 01/01  20:00:00,2.18931082640863,6.46255129236823,0.000000000000000E+000,5.19347966496899,0.000000000000000E+000,0.155176534337045,0.155176534337045,0.155176534337045,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22370140524817 
 01/01  21:00:00,2.03651091919277,6.46964132980431,0.000000000000000E+000,5.28549717282961,0.000000000000000E+000,0.158008730240792,0.158008730240792,0.158008730240792,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13721416699856 
 01/01  22:00:00,1.87473961765888,6.69555660899203,0.000000000000000E+000,5.62877178759083,0.000000000000000E+000,0.168342907469776,0.168342907469776,0.168342907469776,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.02095047321436 
