Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.940038142701332,8.42006332915278,0.000000000000000E+000,7.96286973702922,0.000000000000000E+000,0.219243960130090,0.219243960130090,0.219243960130090,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.428684079730476 
 01/01  02:00:00,0.819416028621304,8.72375348890146,0.000000000000000E+000,8.36069438562107,0.000000000000000E+000,0.230197379471994,0.230197379471994,0.230197379471994,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.336809352077786 
 01/01  03:00:00,0.775606085136336,8.96191797706859,0.000000000000000E+000,8.62481321281016,0.000000000000000E+000,0.237469438356566,0.237469438356566,0.237469438356566,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.311159357997301 
 01/01  04:00:00,0.767628578462116,9.17453558409837,0.000000000000000E+000,8.83092431307599,0.000000000000000E+000,0.243144353976360,0.243144353976360,0.243144353976360,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.318031078691015 
 01/01  05:00:00,0.768223288612017,9.34827543353597,0.000000000000000E+000,8.93179888616175,0.000000000000000E+000,0.245921762324121,0.245921762324121,0.245921762324121,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.391862650232064 
 01/01  06:00:00,0.822777636962705,9.62800843802176,0.000000000000000E+000,8.89091710996461,0.000000000000000E+000,0.244796152737801,0.244796152737801,0.244796152737801,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.709624197088598 
 01/01  07:00:00,1.06081512117484,10.5615353614574,0.000000000000000E+000,9.22315632737955,0.000000000000000E+000,0.253943789725738,0.253943789725738,0.253943789725738,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30664346530509 
 01/01  08:00:00,1.38681942133992,10.6332720377580,0.000000000000000E+000,9.12017779443170,0.000000000000000E+000,0.251108452451930,0.251108452451930,0.251108452451930,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47937282381040 
 01/01  09:00:00,1.33635742767541,10.0160210682864,0.000000000000000E+000,8.54081742387547,0.000000000000000E+000,0.235156758379565,0.235156758379565,0.235156758379565,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44669413201785 
 01/01  10:00:00,1.16749336365317,9.85758636770817,0.000000000000000E+000,8.51399074111509,0.000000000000000E+000,0.234418131683440,0.234418131683440,0.234418131683440,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31933172613361 
