Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.998944351877459,5.30493392874630,0.000000000000000E+000,5.27696652799793,0.000000000000000E+000,0.137318975822809,0.137318975822809,0.137318975822809,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592545620 
 01/01  02:00:00,0.834066775978229,6.21330161715796,0.000000000000000E+000,6.18755100798212,0.000000000000000E+000,0.160101172110200,0.160101172110200,0.160101172110200,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448861375312E-002 
 01/01  03:00:00,0.780073589020036,6.71728349730511,0.000000000000000E+000,6.69183144591682,0.000000000000000E+000,0.172144409080623,0.172144409080623,0.172144409080623,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067935420E-002 
 01/01  04:00:00,0.784448284634037,7.25881029813462,0.000000000000000E+000,7.23371651609136,0.000000000000000E+000,0.185405073055491,0.185405073055491,0.185405073055491,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024234E-002 
 01/01  05:00:00,0.840167318945420,7.61072342506426,0.000000000000000E+000,7.58657756399647,0.000000000000000E+000,0.194009761618992,0.194009761618992,0.194009761618992,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.11165197105124,7.83620547709684,0.000000000000000E+000,7.80926063677082,0.000000000000000E+000,0.199104943883396,0.199104943883396,0.199104943883396,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635405347063 
 01/01  07:00:00,1.74973865389065,8.58089873025174,0.000000000000000E+000,8.54976661695538,0.000000000000000E+000,0.217944456225168,0.217944456225168,0.217944456225168,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385893507144 
 01/01  08:00:00,2.18334299665184,8.65428251800884,0.000000000000000E+000,8.62120231514872,0.000000000000000E+000,0.220005709835766,0.220005709835766,0.220005709835766,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262949371345 
 01/01  09:00:00,2.09622737780649,7.49575937295715,0.000000000000000E+000,7.46779197220877,0.000000000000000E+000,0.188113618896187,0.188113618896187,0.188113618896187,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307155073441 
 01/01  10:00:00,1.82833828643287,6.53329565864454,0.000000000000000E+000,6.50949313903243,0.000000000000000E+000,0.164231730350961,0.164231730350961,0.164231730350961,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279620487 
