Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.955210599373335,8.97019647088774,0.000000000000000E+000,8.51392845717915,0.000000000000000E+000,0.234416416802094,0.234416416802094,0.234416416802094,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.427758501315486 
 01/01  02:00:00,0.828455441374781,9.05151636720994,0.000000000000000E+000,8.68900293383592,0.000000000000000E+000,0.239236792225472,0.239236792225472,0.239236792225472,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.336263682171394 
 01/01  03:00:00,0.779753280893978,9.11194687337775,0.000000000000000E+000,8.77543802168738,0.000000000000000E+000,0.241616634114210,0.241616634114210,0.241616634114210,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.310563445429249 
 01/01  04:00:00,0.769344953542498,9.23631182091588,0.000000000000000E+000,8.89326250098706,0.000000000000000E+000,0.244860729056741,0.244860729056741,0.244860729056741,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.317469127597452 
 01/01  05:00:00,0.767367681970327,9.31701273771528,0.000000000000000E+000,8.90072352960521,0.000000000000000E+000,0.245066155682431,0.245066155682431,0.245066155682431,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.391675310967890 
 01/01  06:00:00,0.821858425388300,9.59454383798137,0.000000000000000E+000,8.85753164281917,0.000000000000000E+000,0.243876941163396,0.243876941163396,0.243876941163396,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.709545064193667 
 01/01  07:00:00,1.04506917613141,9.98974818032321,0.000000000000000E+000,8.65126869502314,0.000000000000000E+000,0.238197844682310,0.238197844682310,0.238197844682310,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30674391652728 
 01/01  08:00:00,1.37412693349199,10.1725629271546,0.000000000000000E+000,8.65919074004736,0.000000000000000E+000,0.238415964603995,0.238415964603995,0.238415964603995,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47965076759128 
 01/01  09:00:00,1.33840038436955,10.0910832597824,0.000000000000000E+000,8.61501695039435,0.000000000000000E+000,0.237199715073699,0.237199715073699,0.237199715073699,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44755679699494 
 01/01  10:00:00,1.16486465712458,9.76261086523467,0.000000000000000E+000,8.41851697001738,0.000000000000000E+000,0.231789425154853,0.231789425154853,0.231789425154853,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31982999475783 
 01/01  11:00:00,1.20080196275196,11.0493127949434,0.000000000000000E+000,9.86143223209567,0.000000000000000E+000,0.271517621978052,0.271517621978052,0.271517621978052,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16304601562303 
 01/01  12:00:00,1.15952025834188,8.75462476796763,0.000000000000000E+000,7.71102333514432,0.000000000000000E+000,0.212309801426351,0.212309801426351,0.212309801426351,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01875927697505 
