Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.928019853842408,7.98269448689820,0.000000000000000E+000,7.52636937191624,0.000000000000000E+000,0.207225671271166,0.207225671271166,0.207225671271166,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.427815602588861 
 01/01  02:00:00,0.806938220737899,8.27070879594544,0.000000000000000E+000,7.90750443812938,0.000000000000000E+000,0.217719571588590,0.217719571588590,0.217719571588590,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.336954606613445 
 01/01  03:00:00,0.768803595331993,8.71554218650620,0.000000000000000E+000,8.37774898277477,0.000000000000000E+000,0.230666948552223,0.230666948552223,0.230666948552223,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.311847797470291 
 01/01  04:00:00,0.751974908298895,8.60606857419760,0.000000000000000E+000,8.26238807453067,0.000000000000000E+000,0.227490683813140,0.227490683813140,0.227490683813140,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.318100307335587 
 01/01  05:00:00,0.741715775176079,8.38587058256310,0.000000000000000E+000,7.96905456965844,0.000000000000000E+000,0.219414248888183,0.219414248888183,0.219414248888183,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.392202115762500 
 01/01  06:00:00,0.794417346879572,8.59863529260334,0.000000000000000E+000,7.86088054475049,0.000000000000000E+000,0.216435862654669,0.216435862654669,0.216435862654669,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.710287616884322 
 01/01  07:00:00,1.01558178949311,8.91962159324629,0.000000000000000E+000,7.58029634738384,0.000000000000000E+000,0.208710458044002,0.208710458044002,0.208710458044002,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30758967708965 
 01/01  08:00:00,1.34205175952572,9.00852157146049,0.000000000000000E+000,7.49423079344528,0.000000000000000E+000,0.206340790637724,0.206340790637724,0.206340790637724,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.48056935849926 
 01/01  09:00:00,1.29503010990641,8.51670323927881,0.000000000000000E+000,7.03982260613866,0.000000000000000E+000,0.193829440610565,0.193829440610565,0.193829440610565,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44837112074703 
 01/01  10:00:00,1.11394429067959,7.91446151389195,0.000000000000000E+000,6.56910572638427,0.000000000000000E+000,0.180869058709864,0.180869058709864,0.180869058709864,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.32109188704824 
