Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.07740285226897,8.87593992286251,0.000000000000000E+000,8.84797252211413,0.000000000000000E+000,0.215777476201055,0.215777476201055,0.215777476201055,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558884 
 01/01  02:00:00,0.878450258619859,8.41066124837550,0.000000000000000E+000,8.38491063919965,0.000000000000000E+000,0.204484682945824,0.204484682945824,0.204484682945824,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808446041975917E-002 
 01/01  03:00:00,0.804177110983074,8.07261545413656,0.000000000000000E+000,8.04716340274824,0.000000000000000E+000,0.196247965879488,0.196247965879488,0.196247965879488,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144177584352771E-002 
 01/01  04:00:00,0.804772313908000,8.42926399900411,0.000000000000000E+000,8.40417021696085,0.000000000000000E+000,0.205729114961768,0.205729114961768,0.205729114961768,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610731160792834E-002 
 01/01  05:00:00,0.854540692073448,8.51603130785140,0.000000000000000E+000,8.49188544678362,0.000000000000000E+000,0.208383142142434,0.208383142142434,0.208383142142434,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137289388970 
 01/01  06:00:00,1.12787295237970,8.80886298122286,0.000000000000000E+000,8.78191814089681,0.000000000000000E+000,0.215325959940157,0.215325959940157,0.215325959940157,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635370618766 
 01/01  07:00:00,1.76706474670989,9.62831770282206,0.000000000000000E+000,9.59718558952572,0.000000000000000E+000,0.235270597376584,0.235270597376584,0.235270597376584,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385845174973 
 01/01  08:00:00,2.20735767641632,10.0299835501808,0.000000000000000E+000,9.99690334732067,0.000000000000000E+000,0.244020398761334,0.244020398761334,0.244020398761334,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940210260 
 01/01  09:00:00,2.15826646867532,10.2853963071742,0.000000000000000E+000,10.2574289064258,0.000000000000000E+000,0.250152709981166,0.250152709981166,0.250152709981166,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154857285 
 01/01  10:00:00,1.89533024968958,9.50514841142562,0.000000000000000E+000,9.48134589181351,0.000000000000000E+000,0.231223693610196,0.231223693610196,0.231223693610196,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279617954 
 01/01  11:00:00,1.79185252887137,9.64254133313131,0.000000000000000E+000,9.61817901766756,0.000000000000000E+000,0.234560673520983,0.234560673520983,0.234560673520983,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100422 
 01/01  12:00:00,1.72896248854323,10.2116300653886,0.000000000000000E+000,10.1872602859802,0.000000000000000E+000,0.248438985136767,0.248438985136767,0.248438985136767,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266596939307 
 01/01  13:00:00,1.62341497288555,9.67325355669777,0.000000000000000E+000,9.64929429424720,0.000000000000000E+000,0.235319488699813,0.235319488699813,0.235319488699813,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750545876543 
 01/01  14:00:00,1.54181859810772,9.24017694282722,0.000000000000000E+000,9.21538918251620,0.000000000000000E+000,0.224737748116189,0.224737748116189,0.224737748116189,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340706952 
 01/01  15:00:00,1.50482835813124,9.52965957638065,0.000000000000000E+000,9.50347605841288,0.000000000000000E+000,0.231763386911095,0.231763386911095,0.231763386911095,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516795670030 
 01/01  16:00:00,1.58277648893878,9.73002873848760,0.000000000000000E+000,9.70238975130554,0.000000000000000E+000,0.236614339434617,0.236614339434617,0.236614339434617,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328459099107 
 01/01  17:00:00,1.90530318504710,10.2379084189921,0.000000000000000E+000,10.2052163412558,0.000000000000000E+000,0.248876883455305,0.248876883455305,0.248876883455305,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447915264274472 
 01/01  18:00:00,2.54331534834602,12.5236028374496,0.000000000000000E+000,12.4838871877613,0.000000000000000E+000,0.304571527221557,0.304571527221557,0.304571527221557,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556680844887908 
 01/01  19:00:00,2.94729274435936,11.2394792390554,0.000000000000000E+000,11.1963600305891,0.000000000000000E+000,0.273116598040824,0.273116598040824,0.273116598040824,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.664128339536352 
 01/01  20:00:00,2.93041338694108,11.1857298917278,0.000000000000000E+000,11.1412223895493,0.000000000000000E+000,0.271703471388857,0.271703471388857,0.271703471388857,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.686910219661792 
 01/01  21:00:00,2.72732221198801,11.3744670345439,0.000000000000000E+000,11.3284294237043,0.000000000000000E+000,0.276268931018855,0.276268931018855,0.276268931018855,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.628499250746012 
 01/01  22:00:00,2.48075746965530,11.2284267365246,0.000000000000000E+000,11.1834639337202,0.000000000000000E+000,0.272733625333080,0.272733625333080,0.272733625333080,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.550454852244168 
 01/01  23:00:00,2.04738833981961,11.4262396952847,0.000000000000000E+000,11.3873301516227,0.000000000000000E+000,0.277705356186867,0.277705356186867,0.277705356186867,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.431370959337803 
 01/01  24:00:00,1.60266027690122,11.7613507072194,0.000000000000000E+000,11.7275390377798,0.000000000000000E+000,0.286002106052746,0.286002106052746,0.286002106052746,0.295204238682502,6.359484000339130E-002,0.151455748256992,0.490883285944670,0.298876044645719 
 01/02  01:00:00,1.13134567687960,11.7906092753853,0.000000000000000E+000,11.7626418746369,0.000000000000000E+000,0.286858166752030,0.286858166752030,0.286858166752030,0.154019599327161,3.317992398525795E-002,8.636931076758889E-002,0.406035247778074,0.148239414954284 
 01/02  02:00:00,0.945514970707808,11.5504777384403,0.000000000000000E+000,11.5247271292645,0.000000000000000E+000,0.281056086876762,0.281056086876762,0.281056086876762,8.984479946806206E-002,1.935495279772985E-002,7.223881327716383E-002,0.373851509163160,9.252479580973132E-002 
 01/02  03:00:00,0.881947571550773,11.5359284692651,0.000000000000000E+000,11.5104764178768,0.000000000000000E+000,0.280708551604739,0.280708551604739,0.280708551604739,6.417484765829316E-002,1.382496603892098E-002,5.971530281942931E-002,0.369516998911993,7.736289120219761E-002 
 01/02  04:00:00,0.872666690155074,11.4805862077328,0.000000000000000E+000,11.4554924256896,0.000000000000000E+000,0.279367644743204,0.279367644743204,0.279367644743204,6.417484765829316E-002,1.382496603892098E-002,5.261106845099969E-002,0.364315586610592,8.172856333786642E-002 
 01/02  05:00:00,0.912620921062558,11.4272073317464,0.000000000000000E+000,11.4030614706786,0.000000000000000E+000,0.278088999367802,0.278088999367802,0.278088999367802,6.417484765829316E-002,1.382496603892098E-002,6.315175921409334E-002,0.350553516563136,0.126182818905112 
 01/02  06:00:00,1.15418100686386,11.1594681129653,0.000000000000000E+000,11.1325232726393,0.000000000000000E+000,0.271491324087617,0.271491324087617,0.271491324087617,6.417484765829316E-002,1.382496603892098E-002,7.598154876300982E-002,0.391189550167829,0.320874756832992 
 01/02  07:00:00,1.72624042033395,10.8626214837601,0.000000000000000E+000,10.8314893704638,0.000000000000000E+000,0.264149943279748,0.264149943279748,0.264149943279748,0.147602159173913,3.179742000169565E-002,0.129758134509170,0.451981056440445,0.684307693613778 
 01/02  08:00:00,2.15301925873403,11.6280235992277,0.000000000000000E+000,11.5949433963675,0.000000000000000E+000,0.282768466618662,0.282768466618662,0.282768466618662,0.301621758501075,6.497734398695361E-002,0.207406094963531,0.480263735829312,0.784337833519295 
