Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.10053859337148,0.000000000000000E+000,0.294767264595581,0.000000000000000E+000,9.100223692421128E-003,0.303867488288002,9.100223692421128E-003,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.405549349774837,0.128171790606210 
 01/01  02:00:00,1.03956576138292,0.000000000000000E+000,0.389935582163833,0.000000000000000E+000,1.207725906183371E-002,0.402012841225666,1.207725906183371E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.373404125092925,8.251094416218389E-002 
 01/01  03:00:00,1.13792869947865,0.000000000000000E+000,0.539634654315247,0.000000000000000E+000,1.681888197291712E-002,0.556453536288165,1.681888197291712E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.369074801903441,7.044381879932829E-002 
 01/01  04:00:00,1.34159522489350,0.000000000000000E+000,0.746900778714598,0.000000000000000E+000,2.333980796207857E-002,0.770240586676676,2.333980796207857E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.363879614076061,7.386855127339817E-002 
 01/01  05:00:00,1.40748194383382,0.000000000000000E+000,0.777327882152411,0.000000000000000E+000,2.441844515247761E-002,0.801746327304887,2.441844515247761E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.350134012949453,0.110148687460922 
 01/01  06:00:00,1.57809357501289,0.000000000000000E+000,0.735986898365261,0.000000000000000E+000,2.311576857288117E-002,0.759102666938142,2.311576857288117E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.390721417850856,0.268561246431289 
 01/01  07:00:00,2.66708278178918,0.000000000000000E+000,1.30548128648881,0.000000000000000E+000,4.115589979924156E-002,1.34663718628805,4.115589979924156E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.451440175583357,0.565070266819113 
 01/01  08:00:00,2.47378483830127,0.000000000000000E+000,0.746932433252807,0.000000000000000E+000,2.336215626083178E-002,0.770294589513640,2.336215626083178E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.479689009394737,0.646750290170043 
 01/01  09:00:00,2.08783479542824,0.000000000000000E+000,0.434543235110210,0.000000000000000E+000,1.348653296470018E-002,0.448029768074908,1.348653296470018E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.405549349774837,0.627555023448881 
 01/01  10:00:00,2.03712301914437,0.000000000000000E+000,0.573781212972567,0.000000000000000E+000,1.782566822039239E-002,0.591606881192960,1.782566822039239E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.345155291281545,0.561744494601967 
 01/01  11:00:00,2.72327350813392,0.000000000000000E+000,1.31201391928075,0.000000000000000E+000,4.118982024556761E-002,1.35320373952631,4.118982024556761E-002,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.353272772261828,0.483274375781389 
 01/01  12:00:00,1.72443123435718,0.000000000000000E+000,0.394368185760899,0.000000000000000E+000,1.223156156037897E-002,0.406599747321276,1.223156156037897E-002,0.101778637007394,2.087580567923118E-002,0.413608816278677,0.353381005341564,0.413112210669029 
 01/01  13:00:00,1.24389802915783,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.101778637007394,2.087580567923118E-002,0.399656799716067,0.347428185956024,0.359083588739116 
 01/01  14:00:00,1.18471195597210,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.101778637007394,2.087580567923118E-002,0.361436104744461,0.359442057806841,0.326104338674173 
 01/01  15:00:00,1.15011112737477,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.107135438875193,2.197453803681636E-002,0.331768008611008,0.379681643717675,0.294476486074078 
 01/01  16:00:00,1.21558139086812,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.133919315218456,2.746817254602046E-002,0.339922860635529,0.400787094266405,0.298408936141705 
 01/01  17:00:00,1.48909621828305,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.224984414988118,4.614652714944218E-002,0.389638974367272,0.474060889248408,0.339190400469809 
 01/01  18:00:00,2.02359279847566,0.000000000000000E+000,2.542965644655702E-002,0.000000000000000E+000,7.776538508809413E-004,2.620731029743796E-002,7.776538508809413E-004,0.417828218263038,8.570068743209509E-002,0.480422251988538,0.575908217281000,0.422451101153555 
 01/01  19:00:00,2.35633263585551,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.621385558775688,0.127452298790557,0.432594366092666,0.625262501641109,0.504562874495488 
 01/01  20:00:00,2.32658189518446,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.658882972356687,0.135143384375571,0.349590930400065,0.645393854472204,0.522495741519931 
 01/01  21:00:00,2.15581564522319,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.567817872587024,0.116465029772149,0.310730546875078,0.667581635818306,0.478145548110638 
 01/01  22:00:00,1.95456309016694,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.476752706319499,9.778667516872755E-002,0.293949375651685,0.651996072336166,0.419003248630861 
 01/01  23:00:00,1.84685088701012,0.000000000000000E+000,0.261837194632204,0.000000000000000E+000,8.118486218521834E-003,0.269955680850726,8.118486218521834E-003,0.358903730206574,7.361468605610173E-002,0.234174255411816,0.564219044669394,0.330908477755504 
 01/01  24:00:00,1.83857989390896,0.000000000000000E+000,0.632120308537645,0.000000000000000E+000,1.977434469769635E-002,0.651894653235341,1.977434469769635E-002,0.246411489463584,5.054142930106109E-002,0.151455748256992,0.490295851208970,0.232905710383008 
 01/02  01:00:00,1.84116093928884,0.000000000000000E+000,1.02665853703111,0.000000000000000E+000,3.219382076090239E-002,1.05885235779201,3.219382076090239E-002,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.405549349774837,0.120382955355306 
 01/02  02:00:00,1.95099380137117,0.000000000000000E+000,1.28136445234630,0.000000000000000E+000,4.006761760672261E-002,1.32143206995302,4.006761760672261E-002,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.373404125092925,7.846678265604119E-002 
 01/02  03:00:00,2.12462278210483,0.000000000000000E+000,1.50195124756348,0.000000000000000E+000,4.681702741569835E-002,1.54876827497918,4.681702741569835E-002,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.369074801903441,6.743440325071083E-002 
 01/02  04:00:00,2.26530582125784,0.000000000000000E+000,1.64739418462712,0.000000000000000E+000,5.115524322534600E-002,1.69854942785247,5.115524322534600E-002,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.363879614076061,7.063571172624139E-002 
 01/02  05:00:00,2.37550087050153,0.000000000000000E+000,1.72566825544141,0.000000000000000E+000,5.337339194205356E-002,1.77904164738347,5.337339194205356E-002,5.356771943759626E-002,1.098726765447209E-002,6.315175921409334E-002,0.350134012949453,0.103543451802447 
 01/02  06:00:00,2.58485618740091,0.000000000000000E+000,1.73563250150426,0.000000000000000E+000,5.359556143454012E-002,1.78922806293880,5.359556143454012E-002,5.356771943759626E-002,1.098726765447209E-002,7.598154876300982E-002,0.390721417850856,0.249295158696176 
 01/02  07:00:00,3.76257765884800,0.000000000000000E+000,2.42189386774763,0.000000000000000E+000,7.511572389599021E-002,2.49700959164362,7.511572389599021E-002,0.123205777980724,2.527070783085009E-002,0.129758134509170,0.451440175583357,0.520818259240274 
 01/02  08:00:00,3.30593476369006,0.000000000000000E+000,1.62689894965929,0.000000000000000E+000,5.007060543629425E-002,1.67696955509558,5.007060543629425E-002,0.251768291331382,5.164014801928536E-002,0.207406094963531,0.479689009394737,0.593386628825529 
 01/02  09:00:00,3.10429933277884,0.000000000000000E+000,1.50600756101745,0.000000000000000E+000,4.628254213031352E-002,1.55229010314776,4.628254213031352E-002,0.241054754093649,4.944269694347590E-002,0.268690864190452,0.405549349774837,0.572196552568662 
