Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.861602263295837,3.803203173437465E-002,0.000000000000000E+000,1.006463098599998E-002,0.000000000000000E+000,2.510521930431551E-004,2.510521930431551E-004,2.510521930431551E-004,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158529427593764 
 01/01  02:00:00,0.683633122847647,0.410601045071068,0.000000000000000E+000,0.384850435895222,0.000000000000000E+000,9.667612490435027E-003,9.667612490435027E-003,9.667612490435027E-003,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808439510293525E-002 
 01/01  03:00:00,0.625504197373030,0.722607880988006,0.000000000000000E+000,0.697155829599706,0.000000000000000E+000,1.757504860566469E-002,1.757504860566469E-002,1.757504860566469E-002,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144177950730705E-002 
 01/01  04:00:00,0.624517467734994,1.03451995279791,0.000000000000000E+000,1.00942617075466,0.000000000000000E+000,2.547425631112813E-002,2.547425631112813E-002,2.547425631112813E-002,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732408556221E-002 
 01/01  05:00:00,0.678297378369905,1.29863950356836,0.000000000000000E+000,1.27449364250058,0.000000000000000E+000,3.213981237339739E-002,3.213981237339739E-002,3.213981237339739E-002,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137305454462 
 01/01  06:00:00,0.948984975430959,1.47327572884183,0.000000000000000E+000,1.44633088851580,0.000000000000000E+000,3.643798104284485E-002,3.643798104284485E-002,3.643798104284485E-002,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372567337 
 01/01  07:00:00,1.56442549011147,1.32920802189764,0.000000000000000E+000,1.29807590860127,0.000000000000000E+000,3.263133869411423E-002,3.263133869411423E-002,3.263133869411423E-002,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847259013 
 01/01  08:00:00,2.00144020042171,1.55460902786255,0.000000000000000E+000,1.52152882500245,0.000000000000000E+000,3.810292239486631E-002,3.810292239486631E-002,3.810292239486631E-002,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940582118 
 01/01  09:00:00,1.93925857299165,1.27168849458321,0.000000000000000E+000,1.24372109383484,0.000000000000000E+000,3.114481429041539E-002,3.114481429041539E-002,3.114481429041539E-002,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864368 
 01/01  10:00:00,1.69249996221847,1.15907181148227,0.000000000000000E+000,1.13526929187016,0.000000000000000E+000,2.839340613875702E-002,2.839340613875702E-002,2.839340613875702E-002,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.57959205438775,0.914783748277421,0.000000000000000E+000,0.890421432813665,0.000000000000000E+000,2.230019903735623E-002,2.230019903735623E-002,2.230019903735623E-002,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.48280462014051,0.115960338784091,0.000000000000000E+000,9.159055937564610E-002,0.000000000000000E+000,2.281116848011940E-003,2.281116848011940E-003,2.281116848011940E-003,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266596825343 
 01/01  13:00:00,1.39041830658833,0.117158988520698,0.000000000000000E+000,9.319972607012871E-002,0.000000000000000E+000,2.322822431120197E-003,2.322822431120197E-003,2.322822431120197E-003,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750545848021 
 01/01  14:00:00,1.31694566964755,2.478776031100949E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430793160362972 
 01/01  15:00:00,1.27288597572223,2.618351796778723E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388337800172114 
 01/01  16:00:00,1.34588360677997,2.763898718207414E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393049916374923 
 01/01  17:00:00,1.65607651669357,3.269207773629071E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447565479376250 
 01/01  18:00:00,2.23812308756606,3.971564968831127E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556060111329503 
 01/01  19:00:00,2.67323724481678,4.311920846633611E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.663189438034579 
 01/01  20:00:00,2.65760077580593,4.450750217842520E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.685801079915503 
 01/01  21:00:00,2.44989686335946,4.603761083959837E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.627342833136323 
 01/01  22:00:00,2.20685796383851,4.496280280443291E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.549288971760459 
 01/01  23:00:00,1.76866713194562,3.890954366193698E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.430355107650675 
