Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.08450238793573,13.6561608491643,0.000000000000000E+000,13.2097644098730,0.000000000000000E+000,0.363708205364487,0.363708205364487,0.363708205364487,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.417886926898241 
 01/01  02:00:00,0.938008956419145,13.0230085623116,0.000000000000000E+000,12.6679511749383,0.000000000000000E+000,0.348790307269836,0.348790307269836,0.348790307269836,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.328807636170737 
 01/01  03:00:00,0.867584288917073,12.2951774079886,0.000000000000000E+000,11.9654318319838,0.000000000000000E+000,0.329447642137303,0.329447642137303,0.329447642137303,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.303800169743702 
 01/01  04:00:00,0.840631235310572,11.8194742553050,0.000000000000000E+000,11.4823572036166,0.000000000000000E+000,0.316147010824815,0.316147010824815,0.316147010824815,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.311536859357063 
 01/01  05:00:00,0.834328997031697,11.7433674733328,0.000000000000000E+000,11.3327368399718,0.000000000000000E+000,0.312027470743799,0.312027470743799,0.312027470743799,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.386016736218831 
 01/01  06:00:00,0.885904075043849,11.9154716670481,0.000000000000000E+000,11.1836489284582,0.000000000000000E+000,0.307922590818945,0.307922590818945,0.307922590818945,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.704355607621346 
 01/01  07:00:00,1.14388716400098,13.5740379305154,0.000000000000000E+000,12.2403060605853,0.000000000000000E+000,0.337015832551878,0.337015832551878,0.337015832551878,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30199630115737 
 01/01  08:00:00,1.45645232628635,13.1573526444908,0.000000000000000E+000,11.6492223855360,0.000000000000000E+000,0.320741357398353,0.320741357398353,0.320741357398353,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47440883943881 
 01/01  09:00:00,1.43055965199931,13.4331712078883,0.000000000000000E+000,11.9622117500155,0.000000000000000E+000,0.329358982703459,0.329358982703459,0.329358982703459,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44244994547971 
 01/01  10:00:00,1.28387782420251,14.0803919663050,0.000000000000000E+000,12.7410367140985,0.000000000000000E+000,0.350802592232783,0.350802592232783,0.350802592232783,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31509135174703 
