Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.03894395448371,7.22360545467566,0.000000000000000E+000,7.19563805392728,0.000000000000000E+000,0.177318578415793,0.177318578415793,0.177318578415793,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558885 
 01/01  02:00:00,0.859516025866332,7.50332526770941,0.000000000000000E+000,7.47757465853355,0.000000000000000E+000,0.185550421998187,0.185550421998187,0.185550421998187,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448861386922E-002 
 01/01  03:00:00,0.800160724671382,7.74501421896083,0.000000000000000E+000,7.71956216757254,0.000000000000000E+000,0.192231544731967,0.192231544731967,0.192231544731967,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067935614E-002 
 01/01  04:00:00,0.793861447736264,7.83994347397146,0.000000000000000E+000,7.81484969192820,0.000000000000000E+000,0.194818236157718,0.194818236157718,0.194818236157718,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024234E-002 
 01/01  05:00:00,0.837552346898394,7.70133847708560,0.000000000000000E+000,7.67719261601782,0.000000000000000E+000,0.191394793132527,0.191394793132527,0.191394793132527,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137293223822 
 01/01  06:00:00,1.10179855753566,7.62073877915090,0.000000000000000E+000,7.59379393882485,0.000000000000000E+000,0.189251564118545,0.189251564118545,0.189251564118545,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635371596339 
 01/01  07:00:00,1.73433273753645,8.13559902751060,0.000000000000000E+000,8.10446691421426,0.000000000000000E+000,0.202538586162686,0.202538586162686,0.202538586162686,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847215427 
 01/01  08:00:00,2.16172930962056,7.95653272471498,0.000000000000000E+000,7.92345252185486,0.000000000000000E+000,0.198392031594464,0.198392031594464,0.198392031594464,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581366 
 01/01  09:00:00,2.08655230849226,7.20808097326694,0.000000000000000E+000,7.18011357251860,0.000000000000000E+000,0.178438549791045,0.178438549791045,0.178438549791045,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864346 
 01/01  10:00:00,1.83364027546751,6.83418395990729,0.000000000000000E+000,6.81038144029518,0.000000000000000E+000,0.169533719387791,0.169533719387791,0.169533719387791,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.75500959878049,7.88713988069105,0.000000000000000E+000,7.86277756522730,0.000000000000000E+000,0.197717743430091,0.197717743430091,0.197717743430091,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.63772098241145,6.33025152245297,0.000000000000000E+000,6.30588174304453,0.000000000000000E+000,0.157197479004988,0.157197479004988,0.157197479004988,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266596939307 
 01/01  13:00:00,1.50508727369488,4.72899008200748,0.000000000000000E+000,4.70503081955692,0.000000000000000E+000,0.116991791855044,0.116991791855044,0.116991791855044,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750543530644 
 01/01  14:00:00,1.41706634336013,4.01070271392894,0.000000000000000E+000,3.98591495361791,0.000000000000000E+000,9.998549385534497E-002,9.998549385534497E-002,9.998549385534497E-002,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340220207 
 01/01  15:00:00,1.36117632941669,3.52102478423352,0.000000000000000E+000,3.49484126626572,0.000000000000000E+000,8.811140944030282E-002,8.811140944030282E-002,8.811140944030282E-002,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516744426272 
 01/01  16:00:00,1.43371366948021,3.48056372339256,0.000000000000000E+000,3.45292473621047,0.000000000000000E+000,8.755161626534948E-002,8.755161626534948E-002,8.755161626534948E-002,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328362809813 
 01/01  17:00:00,1.75600322317760,3.93671939464016,0.000000000000000E+000,3.90402731690388,0.000000000000000E+000,9.957694044822640E-002,9.957694044822640E-002,9.957694044822640E-002,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447915245412057 
 01/01  18:00:00,2.38759246453949,5.85197781955462,0.000000000000000E+000,5.81226216986632,0.000000000000000E+000,0.148848643865893,0.148848643865893,0.148848643865893,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556680844437039 
 01/01  19:00:00,2.80907780239142,5.40445433389231,0.000000000000000E+000,5.36133512542597,0.000000000000000E+000,0.134901648420416,0.134901648420416,0.134901648420416,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.664128347188811 
 01/01  20:00:00,2.80291619517258,5.80285672017744,0.000000000000000E+000,5.75834921799902,0.000000000000000E+000,0.144206274858261,0.144206274858261,0.144206274858261,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.686910224423909 
 01/01  21:00:00,2.60767456348049,6.32205760706896,0.000000000000000E+000,6.27601999622937,0.000000000000000E+000,0.156621277865028,0.156621277865028,0.156621277865028,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.628499255392324 
 01/01  22:00:00,2.37629093817801,6.80983883015154,0.000000000000000E+000,6.76487602734710,0.000000000000000E+000,0.168267092192088,0.168267092192088,0.168267092192088,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.550454853907873 
 01/01  23:00:00,1.94979059125561,7.28928197925936,0.000000000000000E+000,7.25037243559742,0.000000000000000E+000,0.180107607621306,0.180107607621306,0.180107607621306,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.431370959339355 
 01/01  24:00:00,1.50875645372558,7.78335212315713,0.000000000000000E+000,7.74954045371754,0.000000000000000E+000,0.192098282876958,0.192098282876958,0.192098282876958,0.295204238682502,6.359484000339130E-002,0.151455748256992,0.490883285944670,0.298876044645872 
 01/02  01:00:00,1.05271994422184,8.42929003616647,0.000000000000000E+000,8.40132263541809,0.000000000000000E+000,0.208232448862655,0.208232448862655,0.208232448862655,0.154019599327161,3.317992398525795E-002,8.636931076758889E-002,0.406035247778074,0.148239400185899 
 01/02  02:00:00,0.884597735293461,8.92133070706480,0.000000000000000E+000,8.89558009788897,0.000000000000000E+000,0.220138857620407,0.220138857620407,0.220138857620407,8.984479946806206E-002,1.935495279772985E-002,7.223881327716383E-002,0.373851509163160,9.252478965173777E-002 
 01/02  03:00:00,0.831992376713291,9.36840947670450,0.000000000000000E+000,9.34295742531618,0.000000000000000E+000,0.230753356786398,0.230753356786398,0.230753356786398,6.417484765829316E-002,1.382496603892098E-002,5.971530281942931E-002,0.369516998911993,7.736289118305620E-002 
 01/02  04:00:00,0.835384564441159,9.84164383175560,0.000000000000000E+000,9.81655004971237,0.000000000000000E+000,0.242085456981323,0.242085456981323,0.242085456981323,6.417484765829316E-002,1.382496603892098E-002,5.261106845099969E-002,0.364315586610592,8.172862538583134E-002 
