Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.01024592863753,5.85080333544351,0.000000000000000E+000,5.82283593469513,0.000000000000000E+000,0.148620552569611,0.148620552569611,0.148620552569611,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558885 
 01/01  02:00:00,0.827317373589803,6.06503222877482,0.000000000000000E+000,6.03928161959896,0.000000000000000E+000,0.153351769721656,0.153351769721656,0.153351769721656,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448861386922E-002 
 01/01  03:00:00,0.768679418905965,6.35490504976431,0.000000000000000E+000,6.32945299837601,0.000000000000000E+000,0.160750238966553,0.160750238966553,0.160750238966553,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067935641E-002 
 01/01  04:00:00,0.761553845208875,6.41749691418420,0.000000000000000E+000,6.39240313214094,0.000000000000000E+000,0.162510633630328,0.162510633630328,0.162510633630328,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024234E-002 
 01/01  05:00:00,0.809496959407616,6.45744603002894,0.000000000000000E+000,6.43330016896116,0.000000000000000E+000,0.163339402081187,0.163339402081187,0.163339402081187,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.07465347780338,6.41325048923654,0.000000000000000E+000,6.38630564891051,0.000000000000000E+000,0.162106483766622,0.162106483766622,0.162106483766622,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.68660940009739,6.13361275783106,0.000000000000000E+000,6.10248064453469,0.000000000000000E+000,0.154815248689721,0.154815248689721,0.154815248689721,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.12913497028971,6.57893613030633,0.000000000000000E+000,6.54585592744625,0.000000000000000E+000,0.165797692263099,0.165797692263099,0.165797692263099,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.06038419539991,6.03032412587047,0.000000000000000E+000,6.00235672512209,0.000000000000000E+000,0.152270436698679,0.152270436698679,0.152270436698679,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.81237276934872,5.87386390580062,0.000000000000000E+000,5.85006138618850,0.000000000000000E+000,0.148266213269003,0.148266213269003,0.148266213269003,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.73420027695732,6.94650080123036,0.000000000000000E+000,6.92213848576661,0.000000000000000E+000,0.176908418860045,0.176908418860045,0.176908418860045,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958964847305 
 01/01  12:00:00,1.62335868368310,5.65383315674130,0.000000000000000E+000,5.62946337733285,0.000000000000000E+000,0.142835179797900,0.142835179797900,0.142835179797900,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266597418047 
 01/01  13:00:00,1.51803159334566,5.12879468073977,0.000000000000000E+000,5.10483541828918,0.000000000000000E+000,0.129936109154448,0.129936109154448,0.129936109154448,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750545882018 
 01/01  14:00:00,1.43940211914880,4.81184794718461,0.000000000000000E+000,4.78706018687361,0.000000000000000E+000,0.122321269157129,0.122321269157129,0.122321269157129,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340707094 
