Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.822380733647361,6.85923402623580,0.000000000000000E+000,6.48168850308727,0.000000000000000E+000,0.179812579079388,0.179812579079388,0.179812579079388,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.379618189865542,0.351395586439850 
 01/01  02:00:00,0.731511013196426,7.52659872993664,0.000000000000000E+000,7.22244892462602,0.000000000000000E+000,0.200344804932091,0.200344804932091,0.200344804932091,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.349528357362187,0.280072601775791 
 01/01  03:00:00,0.697516945914833,7.85822740603456,0.000000000000000E+000,7.57379227836667,0.000000000000000E+000,0.210084548758978,0.210084548758978,0.210084548758978,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.345475854668135,0.260637080116068 
 01/01  04:00:00,0.692316806183607,8.15222704043886,0.000000000000000E+000,7.86266783520760,0.000000000000000E+000,0.218097481880972,0.218097481880972,0.218097481880972,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.340612851435269,0.266096144859075 
 01/01  05:00:00,0.696566064059622,8.39875552192440,0.000000000000000E+000,8.05263982278548,0.000000000000000E+000,0.223366992559413,0.223366992559413,0.223366992559413,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.327746155381645,0.323538959012774 
 01/01  06:00:00,0.748850817157486,8.65098713587037,0.000000000000000E+000,8.05398138270556,0.000000000000000E+000,0.223404205226474,0.223404205226474,0.223404205226474,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.365738368138405,0.571811925697925 
 01/01  07:00:00,0.946500636095859,8.99741370874693,0.000000000000000E+000,7.93092287790878,0.000000000000000E+000,0.219990764574684,0.219990764574684,0.219990764574684,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.422574718422518,1.03738184070953 
 01/01  08:00:00,1.24216641992977,8.99068041662166,0.000000000000000E+000,7.79059039652814,0.000000000000000E+000,0.216098172205695,0.216098172205695,0.216098172205695,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.449017298501221,1.16915953717575 
 01/01  09:00:00,1.19202550224788,8.58381912480120,0.000000000000000E+000,7.41596423481170,0.000000000000000E+000,0.205706658252730,0.205706658252730,0.205706658252730,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.379618189865542,1.14170495328082 
 01/01  10:00:00,1.04268692620951,7.58748576684370,0.000000000000000E+000,6.52471238386256,0.000000000000000E+000,0.180984796858132,0.180984796858132,0.180984796858132,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.323085777283484,1.04051767223548 
