Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,2.37626901766572,0.000000000000000E+000,1.53221318413248,0.000000000000000E+000,4.738472684790866E-002,1.57959791098039,4.738472684790866E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.405549349774837,0.128171792208070 
 01/01  02:00:00,2.34867043640077,0.000000000000000E+000,1.65949725425870,0.000000000000000E+000,5.162026724427519E-002,1.71111752150297,5.162026724427519E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.373404125092925,8.251093890273165E-002 
 01/01  03:00:00,2.42270779809455,0.000000000000000E+000,1.78539522951712,0.000000000000000E+000,5.583740662432150E-002,1.84123263614144,5.583740662432150E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.369074801903441,7.044381756195091E-002 
 01/01  04:00:00,2.49486560522066,0.000000000000000E+000,1.86502843332637,0.000000000000000E+000,5.848253369482008E-002,1.92351096702119,5.848253369482008E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.363879614076061,7.386855125604427E-002 
 01/01  05:00:00,2.56407628370601,0.000000000000000E+000,1.89873599010591,0.000000000000000E+000,5.960467707148157E-002,1.95834066717739,5.960467707148157E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.350134012949453,0.110148687460609 
 01/01  06:00:00,2.80860616603297,0.000000000000000E+000,1.92901196949814,0.000000000000000E+000,6.060331063007222E-002,1.98961528012821,6.060331063007222E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.390721417850856,0.268561224261299 
 01/01  07:00:00,3.78810992050907,0.000000000000000E+000,2.39225852301490,0.000000000000000E+000,7.540584930637284E-002,2.46766437232127,7.540584930637284E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.451440175583357,0.565070219505795 
 01/01  08:00:00,3.37049289638594,0.000000000000000E+000,1.61624849338733,0.000000000000000E+000,5.075418185966717E-002,1.66700267524700,5.075418185966717E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.479689009394737,0.646750262521349 
 01/01  09:00:00,3.18542687287954,0.000000000000000E+000,1.49875625389369,0.000000000000000E+000,4.686561520048633E-002,1.54562186909418,4.686561520048633E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.405549349774837,0.627554999880909 
 01/01  10:00:00,2.87705459586147,0.000000000000000E+000,1.38793223995460,0.000000000000000E+000,4.360622617791637E-002,1.43153846613251,4.360622617791637E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.345155291281545,0.561744486379516 
 01/01  11:00:00,3.17318810506334,0.000000000000000E+000,1.74777604409912,0.000000000000000E+000,5.534228898282383E-002,1.80311833308195,5.534228898282383E-002,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.353272772261828,0.483274379155166 
 01/01  12:00:00,2.34263669857722,0.000000000000000E+000,0.993576739608906,0.000000000000000E+000,3.122847134020375E-002,1.02480521094911,3.122847134020375E-002,0.101778637007394,2.087580567923118E-002,0.413608816278677,0.353381005341564,0.413112211261246 
 01/01  13:00:00,1.89413271811600,0.000000000000000E+000,0.630106629386592,0.000000000000000E+000,1.980135741065409E-002,0.649907986797246,1.980135741065409E-002,0.101778637007394,2.087580567923118E-002,0.399656799716067,0.347428185956024,0.359410290900033 
 01/01  14:00:00,1.67490924851441,0.000000000000000E+000,0.474331663418588,0.000000000000000E+000,1.497523034879783E-002,0.489306893767385,1.497523034879783E-002,0.101778637007394,2.087580567923118E-002,0.361436104744461,0.359442057806841,0.326994737449095 
 01/01  15:00:00,1.29540299806560,0.000000000000000E+000,0.139572361337240,0.000000000000000E+000,4.401647984885348E-003,0.143974009322126,4.401647984885348E-003,0.107135438875193,2.197453803681636E-002,0.331768008611008,0.379681643717675,0.295794347442783 
 01/01  16:00:00,1.34056828644281,0.000000000000000E+000,0.119799533779548,0.000000000000000E+000,3.780378570537992E-003,0.123579912350086,3.780378570537992E-003,0.133919315218456,2.746817254602046E-002,0.339922860635529,0.400787094266405,0.299815919366313 
 01/01  17:00:00,1.74439405499653,0.000000000000000E+000,0.246090675162636,0.000000000000000E+000,7.816105486669554E-003,0.253906780649305,7.816105486669554E-003,0.224984414988118,4.614652714944218E-002,0.389638974367272,0.474060889248408,0.340581456533986 
 01/01  18:00:00,3.07907227371526,0.000000000000000E+000,1.04758626551325,0.000000000000000E+000,3.364293210252081E-002,1.08122919761577,3.364293210252081E-002,0.417828218263038,8.570068743209509E-002,0.480422251988538,0.575908217281000,0.422908689074811 
 01/01  19:00:00,2.86871284508488,0.000000000000000E+000,0.496087812971594,0.000000000000000E+000,1.573743882942088E-002,0.511825251801015,1.573743882942088E-002,0.621385558775688,0.127452298790557,0.432594366092666,0.625262501641109,0.505117831923848 
 01/01  20:00:00,2.92244137353784,0.000000000000000E+000,0.576847685115137,0.000000000000000E+000,1.826606905919575E-002,0.595113754174334,1.826606905919575E-002,0.658882972356687,0.135143384375571,0.349590930400065,0.645393854472204,0.523241465698979 
 01/01  21:00:00,3.04968524335619,0.000000000000000E+000,0.865992291965982,0.000000000000000E+000,2.747511002763197E-002,0.893467401993616,2.747511002763197E-002,0.567817872587024,0.116465029772149,0.310730546875078,0.667581635818306,0.478547744250017 
 01/01  22:00:00,3.12807379797184,0.000000000000000E+000,1.13730458633077,0.000000000000000E+000,3.598306649993323E-002,1.17328765283070,3.598306649993323E-002,0.476752706319499,9.778667516872755E-002,0.293949375651685,0.651996072336166,0.419226303605061 
 01/01  23:00:00,3.12964111395372,0.000000000000000E+000,1.50527376778393,0.000000000000000E+000,4.747187572691742E-002,1.55274564351084,4.747187572691742E-002,0.358903730206574,7.361468605610173E-002,0.234174255411816,0.564219044669394,0.330908742038996 
 01/01  24:00:00,3.17214883791715,0.000000000000000E+000,1.92497809775764,0.000000000000000E+000,6.048546527002156E-002,1.98546356302766,6.048546527002156E-002,0.246411489463584,5.054142930106109E-002,0.151455748256992,0.490295851208970,0.232905744598879 
 01/02  01:00:00,3.22496853397010,0.000000000000000E+000,2.36851710373641,0.000000000000000E+000,7.414285483496363E-002,2.44265995857137,7.414285483496363E-002,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.405549349774837,0.120382949257192 
 01/02  02:00:00,3.44438890831470,0.000000000000000E+000,2.72973736034439,0.000000000000000E+000,8.508982099080482E-002,2.81482718133519,8.508982099080482E-002,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.373404125092925,7.846677821740430E-002 
 01/02  03:00:00,3.70921978278840,0.000000000000000E+000,3.03901807167098,0.000000000000000E+000,9.434715868192017E-002,3.13336523035290,9.434715868192017E-002,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.369074801903441,6.743444856056041E-002 
 01/02  04:00:00,3.80435664322430,0.000000000000000E+000,3.14022450931657,0.000000000000000E+000,9.737574013474033E-002,3.23760024945129,9.737574013474033E-002,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.363879614076061,7.063571209387724E-002 
