Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,2.39759547234334,0.000000000000000E+000,1.55208861573337,0.000000000000000E+000,4.883575147508325E-002,1.60092436720846,4.883575147508325E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.405549349774837,0.128171790657618 
 01/01  02:00:00,2.36670036511284,0.000000000000000E+000,1.67636317840186,0.000000000000000E+000,5.278426508983079E-002,1.72914744349169,5.278426508983079E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.373404125092925,8.251094562608230E-002 
 01/01  03:00:00,2.41670306071254,0.000000000000000E+000,1.77922490203394,0.000000000000000E+000,5.600299499437543E-002,1.83522789702832,5.600299499437543E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.369074801903441,7.044381929305757E-002 
 01/01  04:00:00,2.46910467043981,0.000000000000000E+000,1.83985844552577,0.000000000000000E+000,5.789158669720897E-002,1.89775003222298,5.789158669720897E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.363879614076061,7.386855127340068E-002 
 01/01  05:00:00,2.54202443130867,0.000000000000000E+000,1.87725581138016,0.000000000000000E+000,5.903300339958049E-002,1.93628881477974,5.903300339958049E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.350134012949453,0.110148687460922 
 01/01  06:00:00,2.72205893007232,0.000000000000000E+000,1.84507696337867,0.000000000000000E+000,5.799105861889339E-002,1.90306802199757,5.799105861889339E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.390721417850856,0.268561246431289 
 01/01  07:00:00,3.05620447167932,0.000000000000000E+000,1.68292241045130,0.000000000000000E+000,5.283646572688599E-002,1.73575887617819,5.283646572688599E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.451440175583357,0.565070266819113 
 01/01  08:00:00,4.05168956701989,0.000000000000000E+000,2.27687543681230,0.000000000000000E+000,7.132387989794188E-002,2.34819931671024,7.132387989794188E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.479689009394737,0.646750291692058 
 01/01  09:00:00,3.43825838751340,0.000000000000000E+000,1.74342864842207,0.000000000000000E+000,5.502471096841522E-002,1.79845335939049,5.502471096841522E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.405549349774837,0.627555024218462 
 01/01  10:00:00,3.12352819055380,0.000000000000000E+000,1.62715090739684,0.000000000000000E+000,5.086114483090665E-002,1.67801205222775,5.086114483090665E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.345155291281545,0.561744494976603 
 01/01  11:00:00,3.71937414848591,0.000000000000000E+000,2.27756551773845,0.000000000000000E+000,7.173885871862856E-002,2.34930437645708,7.173885871862856E-002,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.353272772261828,0.483274379202614 
 01/01  12:00:00,3.91503451765403,0.000000000000000E+000,2.51763081344889,0.000000000000000E+000,7.957221657681234E-002,2.59720303002570,7.957221657681234E-002,0.101778637007394,2.087580567923118E-002,0.413608816278677,0.353381005341564,0.413112211261455 
 01/01  13:00:00,3.09117563774037,0.000000000000000E+000,1.79041093040853,0.000000000000000E+000,5.653997658866342E-002,1.84695090699720,5.653997658866342E-002,0.101778637007394,2.087580567923118E-002,0.399656799716067,0.347428185956024,0.359410290324458 
 01/01  14:00:00,2.91626857542908,0.000000000000000E+000,1.67824461805865,0.000000000000000E+000,5.242160273944753E-002,1.73066622079810,5.242160273944753E-002,0.101778637007394,2.087580567923118E-002,0.361436104744461,0.359442057806841,0.326994737333039 
 01/01  15:00:00,2.99880450026038,0.000000000000000E+000,1.79110436544222,0.000000000000000E+000,5.627114607492501E-002,1.84737551151714,5.627114607492501E-002,0.107135438875193,2.197453803681636E-002,0.331768008611008,0.379681643717675,0.295794347442547 
 01/01  16:00:00,2.97224569143532,0.000000000000000E+000,1.70173011306767,0.000000000000000E+000,5.352719713667567E-002,1.75525731020434,5.352719713667567E-002,0.133919315218456,2.746817254602046E-002,0.339922860635529,0.400787094266405,0.299815926504552 
 01/01  17:00:00,3.15024215908524,0.000000000000000E+000,1.60920380155301,0.000000000000000E+000,5.055108263907986E-002,1.65975488419208,5.055108263907986E-002,0.224984414988118,4.614652714944218E-002,0.389638974367272,0.474060889248408,0.340581457079914 
 01/01  18:00:00,3.41492024441257,0.000000000000000E+000,1.37397529928343,0.000000000000000E+000,4.310186900572290E-002,1.41707716828915,4.310186900572290E-002,0.417828218263038,8.570068743209509E-002,0.480422251988538,0.575908217281000,0.422908689098756 
 01/01  19:00:00,3.52476890562887,0.000000000000000E+000,1.13247346743710,0.000000000000000E+000,3.540784749761700E-002,1.16788131493471,3.540784749761700E-002,0.621385558775688,0.127452298790557,0.432594366092666,0.625262501641109,0.505117829334132 
 01/01  20:00:00,3.40544173947113,0.000000000000000E+000,1.04543721460909,0.000000000000000E+000,3.267691659809736E-002,1.07811413120719,3.267691659809736E-002,0.658882972356687,0.135143384375571,0.349590930400065,0.645393854472204,0.523241454599409 
 01/01  21:00:00,3.26419311308673,0.000000000000000E+000,1.07437418430871,0.000000000000000E+000,3.360108980071645E-002,1.10797527410942,3.360108980071645E-002,0.567817872587024,0.116465029772149,0.310730546875078,0.667581635818306,0.478547741864746 
 01/01  22:00:00,3.10383997622547,0.000000000000000E+000,1.11413568121660,0.000000000000000E+000,3.491815425564161E-002,1.14905383547224,3.491815425564161E-002,0.476752706319499,9.778667516872755E-002,0.293949375651685,0.651996072336166,0.419226299217160 
 01/01  23:00:00,2.83569810771625,0.000000000000000E+000,1.22052013856541,0.000000000000000E+000,3.828249960392379E-002,1.25880263816933,3.828249960392379E-002,0.358903730206574,7.361468605610173E-002,0.234174255411816,0.564219044669394,0.330908741143031 
 01/01  24:00:00,2.59650537730753,0.000000000000000E+000,1.36688695450146,0.000000000000000E+000,4.293315780591959E-002,1.40982011230738,4.293315780591959E-002,0.246411489463584,5.054142930106109E-002,0.151455748256992,0.490295851208970,0.232905734709548 
 01/02  01:00:00,2.37176954391419,0.000000000000000E+000,1.54098284350523,0.000000000000000E+000,4.847812758147715E-002,1.58946097108671,4.847812758147715E-002,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.405549349774837,0.120382946685957 
 01/02  02:00:00,2.31237923076245,0.000000000000000E+000,1.63147924308740,0.000000000000000E+000,5.133827069806259E-002,1.68281751378546,5.133827069806259E-002,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.373404125092925,7.846676821487714E-002 
 01/02  03:00:00,2.34484182311479,0.000000000000000E+000,1.71502559205749,0.000000000000000E+000,5.396174641157620E-002,1.76898733846907,5.396174641157620E-002,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.369074801903441,6.743438077078034E-002 
 01/02  04:00:00,2.29650379927329,0.000000000000000E+000,1.67699770602742,0.000000000000000E+000,5.274972077773091E-002,1.72974742680515,5.274972077773091E-002,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.363879614076061,7.063569078900603E-002 
 01/02  05:00:00,2.29257594678460,0.000000000000000E+000,1.64441445078533,0.000000000000000E+000,5.170227441561227E-002,1.69611672520094,5.170227441561227E-002,5.356771943759626E-002,1.098726765447209E-002,6.315175921409334E-002,0.350134012949453,0.103543450268046 
 01/02  06:00:00,2.39079327355254,0.000000000000000E+000,1.54652023856007,0.000000000000000E+000,4.864491059717096E-002,1.59516514915724,4.864491059717096E-002,5.356771943759626E-002,1.098726765447209E-002,7.598154876300982E-002,0.390721417850856,0.249295158629367 
 01/02  07:00:00,2.62506897915351,0.000000000000000E+000,1.31805883176169,0.000000000000000E+000,4.144208019018263E-002,1.35950091195188,4.144208019018263E-002,0.123205777980724,2.527070783085009E-002,0.129758134509170,0.451440175583357,0.520818259237530 
