Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.956865964051753,3.76133305590654,0.000000000000000E+000,3.73336565515816,0.000000000000000E+000,9.524058576113348E-002,9.524058576113348E-002,9.524058576113348E-002,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803594781589 
 01/01  02:00:00,0.774373420909502,3.95388246199083,0.000000000000000E+000,3.92813185281500,0.000000000000000E+000,0.100407817023942,0.100407817023942,0.100407817023942,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448863128369E-002 
 01/01  03:00:00,0.709569072977937,3.99315812798089,0.000000000000000E+000,3.96770607659257,0.000000000000000E+000,0.101639893038287,0.101639893038287,0.101639893038287,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067959337E-002 
 01/01  04:00:00,0.701818690775770,4.03131741032740,0.000000000000000E+000,4.00622362828414,0.000000000000000E+000,0.102775479197219,0.102775479197219,0.102775479197219,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024789E-002 
 01/01  05:00:00,0.749229987723536,4.03762048116563,0.000000000000000E+000,4.01347462009785,0.000000000000000E+000,0.103072430397107,0.103072430397107,0.103072430397107,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.01428886491102,3.98700561225599,0.000000000000000E+000,3.96006077192997,0.000000000000000E+000,0.101741870874269,0.101741870874269,0.101741870874269,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.62546656591825,3.67832504030018,0.000000000000000E+000,3.64719292700381,0.000000000000000E+000,9.367241451058164E-002,9.367241451058164E-002,9.367241451058164E-002,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.05984341189341,3.79885720392647,0.000000000000000E+000,3.76577700106636,0.000000000000000E+000,9.650613386679588E-002,9.650613386679588E-002,9.650613386679588E-002,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,1.99327673122203,3.34579827109548,0.000000000000000E+000,3.31783087034710,0.000000000000000E+000,8.516297252079656E-002,8.516297252079656E-002,8.516297252079656E-002,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.74135128835119,3.03412338212129,0.000000000000000E+000,3.01032086250918,0.000000000000000E+000,7.724473227147138E-002,7.724473227147138E-002,7.724473227147138E-002,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
