Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.961928334016316,4.06782843930193,0.000000000000000E+000,4.03986103855355,0.000000000000000E+000,0.100302957948401,0.100302957948401,0.100302957948401,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558884 
 01/01  02:00:00,0.783827976038151,4.45141735164345,0.000000000000000E+000,4.42566674246762,0.000000000000000E+000,0.109862372170005,0.109862372170005,0.109862372170005,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448861386894E-002 
 01/01  03:00:00,0.728550151690555,4.88387142231962,0.000000000000000E+000,4.85841937093130,0.000000000000000E+000,0.120620971751140,0.120620971751140,0.120620971751140,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067935641E-002 
 01/01  04:00:00,0.727320985362278,5.19737084088024,0.000000000000000E+000,5.17227705883698,0.000000000000000E+000,0.128277753641741,0.128277753641741,0.128277753641741,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610734438223400E-002 
 01/01  05:00:00,0.777776470725087,5.33617603909367,0.000000000000000E+000,5.31203017802588,0.000000000000000E+000,0.131618910833391,0.131618910833391,0.131618910833391,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137299349654 
 01/01  06:00:00,1.04213990662434,5.26879284082715,0.000000000000000E+000,5.24184800050113,0.000000000000000E+000,0.129592912390205,0.129592912390205,0.129592912390205,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372413362 
 01/01  07:00:00,1.65485167121056,5.01905214885409,0.000000000000000E+000,4.98792003555772,0.000000000000000E+000,0.123057519787924,0.123057519787924,0.123057519787924,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847264296 
 01/01  08:00:00,2.09128700483692,5.22930317825853,0.000000000000000E+000,5.19622297539844,0.000000000000000E+000,0.127949726809232,0.127949726809232,0.127949726809232,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940582963 
 01/01  09:00:00,2.01796768132042,4.49702236933088,0.000000000000000E+000,4.46905496858250,0.000000000000000E+000,0.109853922619157,0.109853922619157,0.109853922619157,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864393 
 01/01  10:00:00,1.75587972733275,3.76336311570681,0.000000000000000E+000,3.73956059609472,0.000000000000000E+000,9.177317125303493E-002,9.177317125303493E-002,9.177317125303493E-002,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
