Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.948305984466697,8.71775506934561,0.000000000000000E+000,8.26315507645166,0.000000000000000E+000,0.227511801895456,0.227511801895456,0.227511801895456,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.426090480500864 
 01/01  02:00:00,0.811747829902792,8.44385865966030,0.000000000000000E+000,8.08218788775933,0.000000000000000E+000,0.222529180753482,0.222529180753482,0.222529180753482,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.335421020698355 
 01/01  03:00:00,0.759616788936973,8.38016747425720,0.000000000000000E+000,8.04408714516046,0.000000000000000E+000,0.221480142157204,0.221480142157204,0.221480142157204,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.310134922835612 
 01/01  04:00:00,0.748901339149442,8.49366083105087,0.000000000000000E+000,8.15075703689419,0.000000000000000E+000,0.224417114663686,0.224417114663686,0.224417114663686,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.317323601825326 
 01/01  05:00:00,0.756044165423501,8.90591479867158,0.000000000000000E+000,8.48945707020556,0.000000000000000E+000,0.233742639135606,0.233742639135606,0.233742639135606,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.391843831323873 
 01/01  06:00:00,0.808640816627836,9.11465114945172,0.000000000000000E+000,8.37747236669531,0.000000000000000E+000,0.230659332402933,0.230659332402933,0.230659332402933,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.709711651787892 
 01/01  07:00:00,1.05092810789590,10.2027815329923,0.000000000000000E+000,8.86406320216055,0.000000000000000E+000,0.244056776446795,0.244056776446795,0.244056776446795,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30698276205893 
 01/01  08:00:00,1.35867753540834,9.61138774751727,0.000000000000000E+000,8.09807359737872,0.000000000000000E+000,0.222966566520354,0.222966566520354,0.222966566520354,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47959273062260 
 01/01  09:00:00,1.32170070945829,9.48380251853678,0.000000000000000E+000,8.00849015763719,0.000000000000000E+000,0.220500040162441,0.220500040162441,0.220500040162441,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44680284850649 
 01/01  10:00:00,1.15379369443169,9.36070623077910,0.000000000000000E+000,8.01642318492689,0.000000000000000E+000,0.220718462461970,0.220718462461970,0.220718462461970,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.32001914539275 
 01/01  11:00:00,1.18579922810054,10.5048368747437,0.000000000000000E+000,9.31653776085191,0.000000000000000E+000,0.256514887326631,0.256514887326631,0.256514887326631,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16346456666703 
 01/01  12:00:00,1.14686192240295,8.29521204056618,0.000000000000000E+000,7.25127666705167,0.000000000000000E+000,0.199651465487422,0.199651465487422,0.199651465487422,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01909321766626 
 01/01  13:00:00,1.12822516769378,8.23644281145123,0.000000000000000E+000,7.30179277158338,0.000000000000000E+000,0.201042339779435,0.201042339779435,0.201042339779435,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.910226358314118 
