Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.775673047103758,4.97113457721517,0.000000000000000E+000,4.57960180172084,0.122621001792065,0.122621001792065,0.122621001792065,0.132991937463835,2.755443954505400E-002,9.294299910333617E-002,0.384214656921069,0.365066606992894 
 01/01  02:00:00,0.668880047215232,5.16401332767602,0.000000000000000E+000,4.85271072070350,0.129933622123251,0.129933622123251,0.129933622123251,7.757865884929742E-002,1.607342069256627E-002,7.618584051012475E-002,0.353760492761593,0.286934237255409 
 01/01  03:00:00,0.633500841769362,5.49104275820616,0.000000000000000E+000,5.20151525943871,0.139273028434354,0.139273028434354,0.139273028434354,5.541331988790434E-002,1.148101600202945E-002,6.232654333565033E-002,0.349658921831025,0.265441660873158 
 01/01  04:00:00,0.625942773074832,5.71011107633185,0.000000000000000E+000,5.41491526786028,0.144986914476860,0.144986914476860,0.144986914476860,5.541331988790434E-002,1.148101600202945E-002,5.397647371529803E-002,0.344737036714339,0.271449008764640 
 01/01  05:00:00,0.627308121249979,5.86730465889300,0.000000000000000E+000,5.50983021791204,0.147528307105367,0.147528307105367,0.147528307105367,5.541331988790434E-002,1.148101600202945E-002,6.582291696649339E-002,0.331714549009782,0.334624679811430 
 01/01  06:00:00,0.679112758379500,6.10846977326694,0.000000000000000E+000,5.47610838458512,0.146625389086762,0.146625389086762,0.146625389086762,5.541331988790434E-002,1.148101600202945E-002,8.007824464053613E-002,0.370166776483870,0.606862891673500 
 01/01  07:00:00,0.877496974509674,6.38391054092832,0.000000000000000E+000,5.23677117626273,0.140217022263345,0.140217022263345,0.140217022263345,0.127450643996854,2.640633195888867E-002,0.140383655227083,0.427691308785101,1.11767835884239 
 01/01  08:00:00,1.17873001271642,6.93275106598989,0.000000000000000E+000,5.63788754565707,0.150957102554135,0.150957102554135,0.150957102554135,0.260442581460688,5.396077150394267E-002,0.228567473812190,0.454454059107065,1.26355899436581 
 01/01  09:00:00,1.14054147249611,6.44570541973121,0.000000000000000E+000,5.18482414435139,0.138826115942472,0.138826115942472,0.138826115942472,0.249359925737781,5.166457058390340E-002,0.301128191032485,0.384214656921069,1.23441510687839 
 01/01  10:00:00,1.00821682951758,6.26148881402602,0.000000000000000E+000,5.11472748033388,0.136949244647488,0.136949244647488,0.136949244647488,0.127450643996854,2.640633195888867E-002,0.375064854196324,0.326997742439629,1.12423648411884 
 01/01  11:00:00,1.03535887904795,7.07916369193476,0.000000000000000E+000,6.06638223692491,0.162430250347487,0.162430250347487,0.162430250347487,0.105285332551039,2.181393011881013E-002,0.395793165817765,0.334688187934444,0.989726858268814 
 01/01  12:00:00,1.02299484078443,5.82622704610907,0.000000000000000E+000,4.93541328485644,0.132148022349794,0.132148022349794,0.132148022349794,0.105285332551039,2.181393011881013E-002,0.413608816278677,0.334790727207709,0.867752101216031 
 01/01  13:00:00,0.987123160013727,5.12436799845379,0.000000000000000E+000,4.32739397838733,0.115868018171233,0.115868018171233,0.115868018171233,0.105285332551039,2.181393011881013E-002,0.399656799716067,0.329151067178176,0.774300841286208 
 01/01  14:00:00,0.952471063956239,4.77539796381773,0.000000000000000E+000,4.03558734685099,0.108054757753022,0.108054757753022,0.108054757753022,0.105285332551039,2.181393011881013E-002,0.361436104744461,0.340532926510507,0.716353412378196 
 01/01  15:00:00,0.946609467245774,4.64508493924098,0.000000000000000E+000,3.95873545429194,0.105997012022452,0.105997012022452,0.105997012022452,0.110826626018020,2.296203770497546E-002,0.331768008611008,0.359707770610917,0.661571444088868 
 01/01  16:00:00,1.00851199309500,4.66393082642901,0.000000000000000E+000,3.97013942347558,0.106302358684944,0.106302358684944,0.106302358684944,0.138533299719761,2.870253287892793E-002,0.339922860635529,0.379702928897442,0.667636019457074 
 01/01  17:00:00,1.23988295515403,4.68358425764205,0.000000000000000E+000,3.91469401856932,0.104817781774389,0.104817781774389,0.104817781774389,0.232735907758947,4.822026207769880E-002,0.389638974367272,0.449122016897326,0.737953004475384 
 01/01  18:00:00,1.69440828328881,5.81720855645684,0.000000000000000E+000,4.90190071462774,0.131250707449506,0.131250707449506,0.131250707449506,0.432223917138118,8.955192139527980E-002,0.480422251988538,0.545611473038965,0.877724046100206 
 01/01  19:00:00,1.95021004197132,4.93785241287380,0.000000000000000E+000,3.88131201539427,0.103923962868647,0.103923962868647,0.103923962868647,0.642794513451249,0.133179781632900,0.432594366092666,0.592369381647454,1.01573573897062 
 01/01  20:00:00,1.89514661132952,4.67118023039872,0.000000000000000E+000,3.58408792093790,9.596564732136838E-002,9.596564732136838E-002,9.596564732136838E-002,0.681583842875899,0.141216491979183,0.349590930400065,0.611441686474602,1.04497387797586 
 01/01  21:00:00,1.76434291166514,4.62588616221927,0.000000000000000E+000,3.61234284231277,9.672218618971289E-002,9.672218618971289E-002,9.672218618971289E-002,0.587381166047768,0.121698762780412,0.310730546875078,0.632462237493769,0.969976912829668 
 01/01  22:00:00,1.62335797705961,4.68449395931225,0.000000000000000E+000,3.77227388430392,0.101004415395587,0.101004415395587,0.101004415395587,0.493178558008581,0.102181033581641,0.293949375651685,0.617696582143720,0.869670782493608 
 01/01  23:00:00,1.34060076351983,4.79960711020264,0.000000000000000E+000,4.04658327136142,0.108349178826617,0.108349178826617,0.108349178826617,0.371269276267653,7.692280920891813E-002,0.234174255411816,0.534537231526429,0.716202879033900 
 01/01  24:00:00,1.05729466710042,4.99465634668360,0.000000000000000E+000,4.41725287253578,0.118274032514286,0.118274032514286,0.118274032514286,0.254901287993707,5.281267817006874E-002,0.151455748256992,0.464502907886960,0.545406745214911 
 01/02  01:00:00,0.775650909608112,5.20204045006745,0.000000000000000E+000,4.82428659138080,0.129172552632164,0.129172552632164,0.129172552632164,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351287690185202 
 01/02  02:00:00,0.672620766084171,5.44383478831337,0.000000000000000E+000,5.13982969204521,0.137621368225150,0.137621368225150,0.137621368225150,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279636726551044 
 01/02  03:00:00,0.635048935200283,5.64101906353322,0.000000000000000E+000,5.35685645678590,0.143432362381497,0.143432362381497,0.143432362381497,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.260076768853009 
 01/02  04:00:00,0.627171301992687,5.80125072021078,0.000000000000000E+000,5.51179251955885,0.147580848659015,0.147580848659015,0.147580848659015,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265711400945027 
 01/02  05:00:00,0.627893340000590,5.97722319602406,0.000000000000000E+000,5.63144810948305,0.150784683608380,0.150784683608380,0.150784683608380,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.322925325371498 
 01/02  06:00:00,0.679242555870124,6.23258036666436,0.000000000000000E+000,5.63395782604182,0.150851882454911,0.150851882454911,0.150851882454911,5.541331988790434E-002,1.148101600202945E-002,7.598154876300982E-002,0.370166776483870,0.573124043614226 
 01/02  07:00:00,0.872869205475872,6.53049763217518,0.000000000000000E+000,5.46077288899890,0.146214773947460,0.146214773947460,0.146214773947460,0.127450643996854,2.640633195888867E-002,0.129758134509170,0.427691308785101,1.04026373735308 
 01/02  08:00:00,1.16653860314219,7.17347155301454,0.000000000000000E+000,5.97289449267419,0.159927071828561,0.159927071828561,0.159927071828561,0.260442581460688,5.396077150394267E-002,0.207406094963531,0.454454059107065,1.16927253437334 
 01/02  09:00:00,1.11813280535837,6.72163050577685,0.000000000000000E+000,5.55937065253030,0.148854775646764,0.148854775646764,0.148854775646764,0.249359925737781,5.166457058390340E-002,0.268690864190452,0.384214656921069,1.13579368474509 
 01/02  10:00:00,0.974383838932173,6.58860962537840,0.000000000000000E+000,5.53294993873155,0.148147348552808,0.148147348552808,0.148147348552808,0.127450643996854,2.640633195888867E-002,0.330033759705594,0.326997742439629,1.03313483707357 
 01/02  11:00:00,1.00240570586328,7.67186292883663,0.000000000000000E+000,6.73726103778099,0.180393347185103,0.180393347185103,0.180393347185103,0.105285332551039,2.181393011881013E-002,0.344876895795482,0.334688187934444,0.911547294314571 
 01/02  12:00:00,0.991573508228366,6.54807248395332,0.000000000000000E+000,5.72223297617527,0.153215491303751,0.153215491303751,0.153215491303751,0.105285332551039,2.181393011881013E-002,0.361120014768658,0.334790727207709,0.802777847741417 
 01/02  13:00:00,0.964350641009718,6.00315905360007,0.000000000000000E+000,5.26250447546488,0.140906043506720,0.140906043506720,0.140906043506720,0.105285332551039,2.181393011881013E-002,0.351846255376571,0.329151067178176,0.717981399354943 
 01/02  14:00:00,0.934773138633129,5.69348384101926,0.000000000000000E+000,5.00252237022617,0.133944899815056,0.133944899815056,0.133944899815056,0.105285332551039,2.181393011881013E-002,0.317848037359318,0.340532926510507,0.667504266204533 
 01/02  15:00:00,0.930707520556249,5.46821826822445,0.000000000000000E+000,4.82608361574891,0.129220668808592,0.129220668808592,0.129220668808592,0.110826626018020,2.296203770497546E-002,0.292642405135342,0.359707770610917,0.617356611615358 
 01/02  16:00:00,0.992562828074427,5.40840245737389,0.000000000000000E+000,4.75854147820605,0.127412196166807,0.127412196166807,0.127412196166807,0.138533299719761,2.870253287892793E-002,0.302863858133087,0.379702928897442,0.623705595671466 
 01/02  17:00:00,1.22672705604041,5.47981925328362,0.000000000000000E+000,4.76480222585265,0.127579830642823,0.127579830642823,0.127579830642823,0.232735907758947,4.822026207769880E-002,0.353721026385214,0.449122016897326,0.684079792833602 
