Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.06318670304340,12.8859125571494,0.000000000000000E+000,12.4355856272400,0.000000000000000E+000,0.342392520472161,0.342392520472161,0.342392520472161,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.421817417516303 
 01/01  02:00:00,0.926058190674515,12.5916970124105,0.000000000000000E+000,12.2339032275021,0.000000000000000E+000,0.336839541525204,0.336839541525204,0.336839541525204,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.331544033705815 
 01/01  03:00:00,0.874752482606898,12.5578978931338,0.000000000000000E+000,12.2257783088856,0.000000000000000E+000,0.336615835827128,0.336615835827128,0.336615835827128,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.306174177987041 
 01/01  04:00:00,0.857051094787152,12.4176716952673,0.000000000000000E+000,12.0787211902676,0.000000000000000E+000,0.332566870301394,0.332566870301394,0.332566870301394,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.313370312668411 
 01/01  05:00:00,0.851148257866970,12.3558964048510,0.000000000000000E+000,11.9436069548198,0.000000000000000E+000,0.328846731579075,0.328846731579075,0.328846731579075,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.387675552889069 
 01/01  06:00:00,0.901679350051145,12.4898270617422,0.000000000000000E+000,11.7566018156181,0.000000000000000E+000,0.323697865826241,0.323697865826241,0.323697865826241,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.705758115155582 
 01/01  07:00:00,1.13886837086123,13.3928047915022,0.000000000000000E+000,12.0580251166303,0.000000000000000E+000,0.331997039412125,0.331997039412125,0.331997039412125,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30304410609918 
 01/01  08:00:00,1.46585179614462,13.5002065617649,0.000000000000000E+000,11.9906080913689,0.000000000000000E+000,0.330140827256631,0.330140827256631,0.330140827256631,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47587705088010 
 01/01  09:00:00,1.40916664507783,12.6570159665289,0.000000000000000E+000,11.1852246562867,0.000000000000000E+000,0.307965975781983,0.307965975781983,0.307965975781983,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44328179784907 
 01/01  10:00:00,1.21807308750497,11.6915371429307,0.000000000000000E+000,10.3510299559142,0.000000000000000E+000,0.284997855535244,0.284997855535244,0.284997855535244,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31624328655710 
 01/01  11:00:00,1.25863702644982,13.1468140310910,0.000000000000000E+000,11.9619830440114,0.000000000000000E+000,0.329352685675916,0.329352685675916,0.329352685675916,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.15999643985491 
 01/01  12:00:00,1.23291685328782,11.4175008351145,0.000000000000000E+000,10.3767639300018,0.000000000000000E+000,0.285706396372301,0.285706396372301,0.285706396372301,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01589474926443 
 01/01  13:00:00,1.20765243683309,11.1172858196763,0.000000000000000E+000,10.1865655030602,0.000000000000000E+000,0.280469608918744,0.280469608918744,0.280469608918744,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.906296635062358 
 01/01  14:00:00,1.17831489011398,10.9279164539019,0.000000000000000E+000,10.0638579390183,0.000000000000000E+000,0.277091066613403,0.277091066613403,0.277091066613403,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.838790276117259 
 01/01  15:00:00,1.17655095556904,10.8305927997304,0.000000000000000E+000,10.0292097530447,0.000000000000000E+000,0.276137088241907,0.276137088241907,0.276137088241907,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.774691995317995 
 01/01  16:00:00,1.25765639845880,11.2168771498842,0.000000000000000E+000,10.4071050342955,0.000000000000000E+000,0.286541786637338,0.286541786637338,0.286541786637338,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.781597382631153 
 01/01  17:00:00,1.52984626567539,11.6045492914954,0.000000000000000E+000,10.7075167647087,0.000000000000000E+000,0.294813108361848,0.294813108361848,0.294813108361848,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.863706755694624 
 01/01  18:00:00,2.07005291596619,13.5987871823053,0.000000000000000E+000,12.5321708277236,0.000000000000000E+000,0.345051828302542,0.345051828302542,0.345051828302542,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.02613086874145 
 01/01  19:00:00,2.37837171976778,12.4583021278424,0.000000000000000E+000,11.2295966630048,0.000000000000000E+000,0.309187682879182,0.309187682879182,0.309187682879182,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18475044666437 
 01/01  20:00:00,2.35021583439067,12.7441015050530,0.000000000000000E+000,11.4799794086585,0.000000000000000E+000,0.316081542319090,0.316081542319090,0.316081542319090,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.21875187424344 
 01/01  21:00:00,2.20828111728242,13.1565308494662,0.000000000000000E+000,11.9774640393935,0.000000000000000E+000,0.329778928330437,0.329778928330437,0.329778928330437,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13213682009658 
 01/01  22:00:00,2.05319210763481,13.6568470694980,0.000000000000000E+000,12.5954966952015,0.000000000000000E+000,0.346795397445707,0.346795397445707,0.346795397445707,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.01551602610964 
 01/01  23:00:00,1.73940538299605,14.0514256312574,0.000000000000000E+000,13.1765502613386,0.000000000000000E+000,0.362793710754189,0.362793710754189,0.362793710754189,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.835211615420416 
 01/01  24:00:00,1.43372077826787,14.7426471721518,0.000000000000000E+000,14.0737645726373,0.000000000000000E+000,0.387496967895237,0.387496967895237,0.387496967895237,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.634415534891963 
 01/02  01:00:00,1.12312028431972,15.2866711473348,0.000000000000000E+000,14.8511081537082,0.000000000000000E+000,0.408899790084223,0.408899790084223,0.408899790084223,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.407053481233530 
 01/02  02:00:00,1.01101251003952,15.8118520432320,0.000000000000000E+000,15.4627713887324,0.000000000000000E+000,0.425740888123171,0.425740888123171,0.425740888123171,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.322830903297058 
 01/02  03:00:00,0.977578585214354,16.3805281587187,0.000000000000000E+000,16.0552285168371,0.000000000000000E+000,0.442053178950805,0.442053178950805,0.442053178950805,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.299354235620389 
