Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.966901085698130,4.19599058126322,0.000000000000000E+000,4.16802318051485,0.000000000000000E+000,0.105275709630217,0.105275709630217,0.105275709630217,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558884 
 01/01  02:00:00,0.788854981933178,4.58297832567920,0.000000000000000E+000,4.55722771650334,0.000000000000000E+000,0.114889358587481,0.114889358587481,0.114889358587481,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808450809142064E-002 
 01/01  03:00:00,0.728735476605601,4.82877438794675,0.000000000000000E+000,4.80332233655843,0.000000000000000E+000,0.120806286313016,0.120806286313016,0.120806286313016,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144182103252831E-002 
 01/01  04:00:00,0.723139627706173,4.96564977527339,0.000000000000000E+000,4.94055599323013,0.000000000000000E+000,0.124096416056073,0.124096416056073,0.124096416056073,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732431179517E-002 
 01/01  05:00:00,0.772686080178006,5.07052734439224,0.000000000000000E+000,5.04638148332446,0.000000000000000E+000,0.126528522846346,0.126528522846346,0.126528522846346,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296789614 
 01/01  06:00:00,1.03873614900970,5.06359008522638,0.000000000000000E+000,5.03664524490036,0.000000000000000E+000,0.126189154972558,0.126189154972558,0.126189154972558,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372216365 
 01/01  07:00:00,1.65227900796059,4.84541081519663,0.000000000000000E+000,4.81427870190027,0.000000000000000E+000,0.120484856552887,0.120484856552887,0.120484856552887,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249363 
 01/01  08:00:00,2.09257282121190,5.20626956930385,0.000000000000000E+000,5.17318936644376,0.000000000000000E+000,0.129235543185285,0.129235543185285,0.129235543185285,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581882 
 01/01  09:00:00,2.02987419058424,4.88314298794668,0.000000000000000E+000,4.85517558719831,0.000000000000000E+000,0.121760431883010,0.121760431883010,0.121760431883010,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.78182488601580,4.73353627707930,0.000000000000000E+000,4.70973375746719,0.000000000000000E+000,0.117718329936085,0.117718329936085,0.117718329936085,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.69746741091082,5.59411305170556,0.000000000000000E+000,5.56975073624177,0.000000000000000E+000,0.140175555560422,0.140175555560422,0.140175555560422,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.59962975625135,4.77108883119273,0.000000000000000E+000,4.74671905178429,0.000000000000000E+000,0.119106252844889,0.119106252844889,0.119106252844889,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266596939307 
 01/01  13:00:00,1.49510351869811,4.29451675867466,0.000000000000000E+000,4.27055749622407,0.000000000000000E+000,0.107008034512371,0.107008034512371,0.107008034512371,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750545876543 
 01/01  14:00:00,1.41921487922974,4.08683773680113,0.000000000000000E+000,4.06204997649010,0.000000000000000E+000,0.102134029238213,0.102134029238213,0.102134029238213,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340706952 
 01/01  15:00:00,1.36794573625413,3.79193362225836,0.000000000000000E+000,3.76575010429059,0.000000000000000E+000,9.488081762887199E-002,9.488081762887199E-002,9.488081762887199E-002,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516743075143 
 01/01  16:00:00,1.43674388311445,3.61559054370259,0.000000000000000E+000,3.58795155652053,0.000000000000000E+000,9.058182276858830E-002,9.058182276858830E-002,9.058182276858830E-002,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328369940814 
 01/01  17:00:00,1.74258666531167,3.43957412423124,0.000000000000000E+000,3.40688204649493,0.000000000000000E+000,8.616038116872618E-002,8.616038116872618E-002,8.616038116872618E-002,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447915246825627 
 01/01  18:00:00,2.34600726953947,4.26031244813193,0.000000000000000E+000,4.22059679844363,0.000000000000000E+000,0.107263448689449,0.107263448689449,0.107263448689449,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556680844613464 
 01/01  19:00:00,2.75073277345128,3.08480728178141,0.000000000000000E+000,3.04168807331507,0.000000000000000E+000,7.655662714695632E-002,7.655662714695632E-002,7.655662714695632E-002,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.664128339522130 
 01/01  20:00:00,2.73012184127987,2.88726365010782,0.000000000000000E+000,2.84275614792938,0.000000000000000E+000,7.141192572827709E-002,7.141192572827709E-002,7.141192572827709E-002,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.686910219661169 
 01/01  21:00:00,2.52734954559854,3.07638991350324,0.000000000000000E+000,3.03035230266362,0.000000000000000E+000,7.629626462939121E-002,7.629626462939121E-002,7.629626462939121E-002,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.628499250746012 
 01/01  22:00:00,2.28613044988860,3.14285544329032,0.000000000000000E+000,3.09789264048588,0.000000000000000E+000,7.810660556638502E-002,7.810660556638502E-002,7.810660556638502E-002,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.550454852244168 
 01/01  23:00:00,1.85328988627604,3.35835931309941,0.000000000000000E+000,3.31944976943747,0.000000000000000E+000,8.360690264329360E-002,8.360690264329360E-002,8.360690264329360E-002,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.431370959337803 
