Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.913016510869741,6.58882990221384,0.000000000000000E+000,6.13032749383213,0.000000000000000E+000,0.192222328298499,0.192222328298499,0.192222328298499,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.429992895988625 
 01/01  02:00:00,0.798917683779933,7.05990787930712,0.000000000000000E+000,6.69556517390608,0.000000000000000E+000,0.209699034630622,0.209699034630622,0.209699034630622,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.338092954198430 
 01/01  03:00:00,0.754525311030127,7.25084446671421,0.000000000000000E+000,6.91319159563282,0.000000000000000E+000,0.216388664250358,0.216388664250358,0.216388664250358,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.311707464820253 
 01/01  04:00:00,0.756269730217970,7.74550653083079,0.000000000000000E+000,7.40117117449454,0.000000000000000E+000,0.231785505732212,0.231785505732212,0.231785505732212,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.318755164004902 
 01/01  05:00:00,0.762460209359321,8.08696166774783,0.000000000000000E+000,7.66981587169357,0.000000000000000E+000,0.240158683071426,0.240158683071426,0.240158683071426,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.392531898912096 
 01/01  06:00:00,0.834615514632553,8.93006534646284,0.000000000000000E+000,8.19220161721291,0.000000000000000E+000,0.256634030407648,0.256634030407648,0.256634030407648,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.710396598281402 
 01/01  07:00:00,1.08270418532891,10.1424330432404,0.000000000000000E+000,8.80352418696341,0.000000000000000E+000,0.275832853879804,0.275832853879804,0.275832853879804,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30717328750427 
 01/01  08:00:00,1.40262961446280,10.0321004672981,0.000000000000000E+000,8.51883013236582,0.000000000000000E+000,0.266918645574814,0.266918645574814,0.266918645574814,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47954891541639 
 01/01  09:00:00,1.33583394258732,8.98035394157046,0.000000000000000E+000,7.50534619800846,0.000000000000000E+000,0.234633273291469,0.234633273291469,0.234633273291469,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44649823116892 
 01/01  10:00:00,1.14567839857094,8.14463524303507,0.000000000000000E+000,6.80058980776774,0.000000000000000E+000,0.212603166601215,0.212603166601215,0.212603166601215,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31978153480784 
 01/01  11:00:00,1.12651707216930,7.49731138509625,0.000000000000000E+000,6.30922445451447,0.000000000000000E+000,0.197232731395389,0.197232731395389,0.197232731395389,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16325238335706 
 01/01  12:00:00,1.07818193912992,5.25547477973524,0.000000000000000E+000,4.21057719581242,0.000000000000000E+000,0.130971482214401,0.130971482214401,0.130971482214401,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.02005542807455 
 01/01  13:00:00,1.02250212747998,4.00196815700052,0.000000000000000E+000,3.06534714944145,0.000000000000000E+000,9.531929956563698E-002,9.531929956563698E-002,9.531929956563698E-002,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.912197326005346 
