Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.806761333400700,5.96814586340462,0.000000000000000E+000,5.59060034036775,0.000000000000000E+000,0.164193178832730,0.164193178832730,0.164193178832730,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.379618189865542,0.351395586328169 
 01/01  02:00:00,0.709059750792047,6.37374156563117,0.000000000000000E+000,6.06959176033125,0.000000000000000E+000,0.177893542527714,0.177893542527714,0.177893542527714,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.349528357362187,0.280072601765088 
 01/01  03:00:00,0.677575604145975,6.76956506440789,0.000000000000000E+000,6.48512993674110,0.000000000000000E+000,0.190143206990123,0.190143206990123,0.190143206990123,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.345475854668135,0.260637080114978 
 01/01  04:00:00,0.669741127184095,6.96287464026662,0.000000000000000E+000,6.67331543503547,0.000000000000000E+000,0.195521802881461,0.195521802881461,0.195521802881461,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.340612851435269,0.266096144858958 
 01/01  05:00:00,0.672326772193293,7.15815083041280,0.000000000000000E+000,6.81203513127391,0.000000000000000E+000,0.199127700693084,0.199127700693084,0.199127700693084,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.327746155381645,0.323538959012763 
 01/01  06:00:00,0.722658959835705,7.35013013368624,0.000000000000000E+000,6.75312438052146,0.000000000000000E+000,0.197212347904694,0.197212347904694,0.197212347904694,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.365738368138405,0.571811925697922 
 01/01  07:00:00,0.916110136060061,7.57286504826194,0.000000000000000E+000,6.50637421742379,0.000000000000000E+000,0.189600264538886,0.189600264538886,0.189600264538886,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.422574718422518,1.03738184070953 
 01/01  08:00:00,1.20811397929565,7.45860891726817,0.000000000000000E+000,6.25851889717464,0.000000000000000E+000,0.182045731571572,0.182045731571572,0.182045731571572,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.449017298501221,1.16915953717575 
 01/01  09:00:00,1.16363339084221,7.25638004446589,0.000000000000000E+000,6.08852515447639,0.000000000000000E+000,0.177314546847056,0.177314546847056,0.177314546847056,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.379618189865542,1.14170495328082 
 01/01  10:00:00,1.03246141021378,6.91594971649396,0.000000000000000E+000,5.85317633351279,0.000000000000000E+000,0.170759280862404,0.170759280862404,0.170759280862404,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.323085777283484,1.04051767223548 
 01/01  11:00:00,1.06367173040030,7.69648840852866,0.000000000000000E+000,6.75588319151356,0.000000000000000E+000,0.199464890001075,0.199464890001075,0.199464890001075,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.330684219834836,0.917826088801295 
 01/01  12:00:00,1.04259400370391,6.30358576916141,0.000000000000000E+000,5.47393750902181,0.000000000000000E+000,0.160470200276416,0.160470200276416,0.160470200276416,0.101778637007394,2.087580567923118E-002,0.413608816278677,0.330785532402186,0.806862153026217 
 01/01  13:00:00,1.00572843802871,5.60273407271339,0.000000000000000E+000,4.85843938288609,0.000000000000000E+000,0.143128842368158,0.143128842368158,0.143128842368158,0.101778637007394,2.087580567923118E-002,0.399656799716067,0.325213341197862,0.721892422190576 
 01/01  14:00:00,0.968875690705602,5.19185753774926,0.000000000000000E+000,4.49911089343097,0.000000000000000E+000,0.133251095040653,0.133251095040653,0.133251095040653,0.101778637007394,2.087580567923118E-002,0.361436104744461,0.336459036173864,0.669569718828680 
 01/01  15:00:00,0.952318593047943,4.71838926518042,0.000000000000000E+000,4.07398014608765,0.000000000000000E+000,0.120961109196358,0.120961109196358,0.120961109196358,0.107135438875193,2.197453803681636E-002,0.331768008611008,0.355404486268567,0.619927139382587 
 01/01  16:00:00,1.00798214632949,4.57010792543080,0.000000000000000E+000,3.91858379324589,0.000000000000000E+000,0.116436348967401,0.116436348967401,0.116436348967401,0.133919315218456,2.746817254602046E-002,0.339922860635529,0.375160436902082,0.625681267057538 
 01/01  17:00:00,1.23056581736071,4.44082407332719,0.000000000000000E+000,3.72052734388422,0.000000000000000E+000,0.110971843796930,0.110971843796930,0.110971843796930,0.224984414988118,4.614652714944218E-002,0.389638974367272,0.443749044998952,0.689729149303111 
 01/01  18:00:00,1.67705768689319,5.48431509578396,0.000000000000000E+000,4.62955528430138,0.000000000000000E+000,0.138947346272937,0.138947346272937,0.138947346272937,0.417828218263038,8.570068743209509E-002,0.480422251988538,0.539084170876581,0.817625086842360 
 01/01  19:00:00,1.91430592838591,4.44409116936787,0.000000000000000E+000,3.45958002062475,0.000000000000000E+000,0.102515967078201,0.102515967078201,0.102515967078201,0.621385558775688,0.127452298790557,0.432594366092666,0.585282701588801,0.944194045896532 
 01/01  20:00:00,1.85674449709596,4.19669808433348,0.000000000000000E+000,3.18387713441370,0.000000000000000E+000,9.392535878748802E-002,9.392535878748802E-002,9.392535878748802E-002,0.658882972356687,0.135143384375571,0.349590930400065,0.604126839116154,0.971205771752190 
 01/01  21:00:00,1.73985117997284,4.47671969994203,0.000000000000000E+000,3.53127457671248,0.000000000000000E+000,0.104866803255412,0.104866803255412,0.104866803255412,0.567817872587024,0.116465029772149,0.310730546875078,0.624895915423182,0.902399270649036 
 01/01  22:00:00,1.61667449442024,4.98356780247905,0.000000000000000E+000,4.13096175848465,0.000000000000000E+000,0.122803819495746,0.122803819495746,0.122803819495746,0.476752706319499,9.778667516872755E-002,0.293949375651685,0.610306905724587,0.810565152952715 
 01/01  23:00:00,1.35684101480177,5.66094454091512,0.000000000000000E+000,4.95356617908744,0.000000000000000E+000,0.146930917464640,0.146930917464640,0.146930917464640,0.358903730206574,7.361468605610173E-002,0.234174255411816,0.528142413602635,0.670997358341579 
 01/01  24:00:00,1.08165121400575,5.94153968246903,0.000000000000000E+000,5.39414749063379,0.000000000000000E+000,0.159221604822456,0.159221604822456,0.159221604822456,0.246411489463584,5.054142930106109E-002,0.151455748256992,0.458945930101656,0.515777776759058 
 01/02  01:00:00,0.805825992477548,6.14529155587812,0.000000000000000E+000,5.78012175669512,0.000000000000000E+000,0.169831526245323,0.169831526245323,0.169831526245323,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.379618189865542,0.339019862474320 
 01/02  02:00:00,0.701865608555099,6.25755193536043,0.000000000000000E+000,5.95990259208248,0.000000000000000E+000,0.174646427523727,0.174646427523727,0.174646427523727,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.349528357362187,0.273572139743136 
 01/02  03:00:00,0.665308508996979,6.45136412292931,0.000000000000000E+000,6.17170890139039,0.000000000000000E+000,0.180487352357347,0.180487352357347,0.180487352357347,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.345475854668135,0.255857173987113 
 01/02  04:00:00,0.658225159238548,6.62275203525386,0.000000000000000E+000,6.33832489017330,0.000000000000000E+000,0.185371240200211,0.185371240200211,0.185371240200211,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.340612851435269,0.260964084708378 
 01/02  05:00:00,0.659988248781252,6.81761337902473,0.000000000000000E+000,6.48199124648249,0.000000000000000E+000,0.189460335033444,0.189460335033444,0.189460335033444,5.356771943759626E-002,1.098726765447209E-002,6.315175921409334E-002,0.327746155381645,0.313045392416097 
