Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.725276446023276,3.35927560679422,0.000000000000000E+000,2.98173008382324,0.000000000000000E+000,8.270829145530328E-002,8.270829145530328E-002,8.270829145530328E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.379618189865542,0.351395586262286 
 01/01  02:00:00,0.628231457701483,3.80346491928356,0.000000000000000E+000,3.49931511397457,0.000000000000000E+000,9.706524943715020E-002,9.706524943715020E-002,9.706524943715020E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.349528357362187,0.280072601774152 
 01/01  03:00:00,0.594470717491907,4.14329104467591,0.000000000000000E+000,3.85885591700807,0.000000000000000E+000,0.107038320336055,0.107038320336055,0.107038320336055,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.345475854668135,0.260637080116042 
 01/01  04:00:00,0.589471957247522,4.44455064375375,0.000000000000000E+000,4.15499143852249,0.000000000000000E+000,0.115252632944887,0.115252632944887,0.115252632944887,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.340612851435269,0.266096144859074 
 01/01  05:00:00,0.593342548610381,4.67742775710991,0.000000000000000E+000,4.33131205797101,0.000000000000000E+000,0.120143477110174,0.120143477110174,0.120143477110174,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.327746155381645,0.323538959012774 
 01/01  06:00:00,0.647648847074105,5.00253843223749,0.000000000000000E+000,4.40553267907269,0.000000000000000E+000,0.122202235143095,0.122202235143095,0.122202235143095,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.365738368138405,0.571811925697925 
 01/01  07:00:00,0.845022445528571,5.33900693546771,0.000000000000000E+000,4.27251610462957,0.000000000000000E+000,0.118512574007396,0.118512574007396,0.118512574007396,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.422574718422518,1.03738184070953 
 01/01  08:00:00,1.13361011516571,5.07709939580455,0.000000000000000E+000,3.87700937571099,0.000000000000000E+000,0.107541867441633,0.107541867441633,0.107541867441633,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.449017298501221,1.16915953717575 
 01/01  09:00:00,1.08392218531116,4.68656884191405,0.000000000000000E+000,3.51871395192455,0.000000000000000E+000,9.760334131601113E-002,9.760334131601113E-002,9.760334131601113E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.379618189865542,1.14170495328082 
 01/01  10:00:00,0.931270827283318,3.57080584098655,0.000000000000000E+000,2.50803245800541,0.000000000000000E+000,6.956869793193854E-002,6.956869793193854E-002,6.956869793193854E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.323085777283484,1.04051767223548 
 01/01  11:00:00,0.932004281776007,3.38478181447423,0.000000000000000E+000,2.44417659949646,0.000000000000000E+000,6.779744137677943E-002,6.779744137677943E-002,6.779744137677943E-002,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.330684219834836,0.917826086763957 
 01/01  12:00:00,0.916865982948005,2.08214419096437,0.000000000000000E+000,1.25249597145757,0.000000000000000E+000,3.474217952051444E-002,3.474217952051444E-002,3.474217952051444E-002,0.101778637007394,2.087580567923118E-002,0.413608816278677,0.330785532402186,0.806862112393415 
 01/01  13:00:00,0.870718177647337,1.03697899982638,0.000000000000000E+000,0.292684321269753,0.000000000000000E+000,8.118581986782976E-003,8.118581986782976E-003,8.118581986782976E-003,0.101778637007394,2.087580567923118E-002,0.399656799716067,0.325213341197862,0.721892410919881 
 01/01  14:00:00,0.835624595664950,0.692338509002286,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.101778637007394,2.087580567923118E-002,0.361436104744461,0.336459036173864,0.669161583512680 
 01/01  15:00:00,0.831357483851583,0.643840332149156,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.107135438875193,2.197453803681636E-002,0.331768008611008,0.355404486268567,0.619358352438969 
 01/01  16:00:00,0.891545797362089,0.650051636865843,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.133919315218456,2.746817254602046E-002,0.339922860635529,0.375160436902082,0.624208771738471 
 01/01  17:00:00,1.12104890919651,0.772369290882666,0.000000000000000E+000,5.245212142316857E-002,0.000000000000000E+000,1.454935632722933E-003,1.454935632722933E-003,1.454935632722933E-003,0.224984414988118,4.614652714944218E-002,0.389638974367272,0.443749044998952,0.689349589319639 
 01/01  18:00:00,1.56611007499704,1.86418244926839,0.000000000000000E+000,1.00942298361272,0.000000000000000E+000,2.799973437678597E-002,2.799973437678597E-002,2.799973437678597E-002,0.417828218263038,8.570068743209509E-002,0.480422251988538,0.539084170876581,0.817624741015450 
 01/01  19:00:00,1.82799489257366,1.56871776847191,0.000000000000000E+000,0.584206615948372,0.000000000000000E+000,1.620493126595114E-002,1.620493126595114E-002,1.620493126595114E-002,0.621385558775688,0.127452298790557,0.432594366092666,0.585282701588801,0.944194049676969 
 01/01  20:00:00,1.78215162441014,1.70977964844718,0.000000000000000E+000,0.696958604634790,0.000000000000000E+000,1.933248610166048E-002,1.933248610166048E-002,1.933248610166048E-002,0.658882972356687,0.135143384375571,0.349590930400065,0.604126839116154,0.971205865644815 
 01/01  21:00:00,1.66290447174048,1.95199703151994,0.000000000000000E+000,1.00655189230228,0.000000000000000E+000,2.792009502304759E-002,2.792009502304759E-002,2.792009502304759E-002,0.567817872587024,0.116465029772149,0.310730546875078,0.624895915423182,0.902399286637141 
 01/01  22:00:00,1.53129122114097,2.20166025975386,0.000000000000000E+000,1.34905420537024,0.000000000000000E+000,3.742054621647607E-002,3.742054621647607E-002,3.742054621647607E-002,0.476752706319499,9.778667516872755E-002,0.293949375651685,0.610306905724587,0.810565163341953 
 01/01  23:00:00,1.26098170121289,2.54856901579202,0.000000000000000E+000,1.84119070804132,0.000000000000000E+000,5.107160387576708E-002,5.107160387576708E-002,5.107160387576708E-002,0.358903730206574,7.361468605610173E-002,0.234174255411816,0.528142413602635,0.670997304264608 
 01/01  24:00:00,0.988569647267841,2.93181745845901,0.000000000000000E+000,2.38442528350964,0.000000000000000E+000,6.614003808454730E-002,6.614003808454730E-002,6.614003808454730E-002,0.246411489463584,5.054142930106109E-002,0.151455748256992,0.458945930101656,0.515777759873197 
 01/02  01:00:00,0.717448001350711,3.30166441447425,0.000000000000000E+000,2.93649465879488,0.000000000000000E+000,8.145353511848763E-002,8.145353511848763E-002,8.145353511848763E-002,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.379618189865542,0.339019818970699 
 01/02  02:00:00,0.620123598655651,3.64696160893162,0.000000000000000E+000,3.34931228872130,0.000000000000000E+000,9.290441762427909E-002,9.290441762427909E-002,9.290441762427909E-002,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.349528357362187,0.273572116675501 
 01/02  03:00:00,0.587352886292897,3.97604330350938,0.000000000000000E+000,3.69638808243052,0.000000000000000E+000,0.102531729653265,0.102531729653265,0.102531729653265,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.345475854668135,0.255857173527054 
 01/02  04:00:00,0.583304376686811,4.26629452695970,0.000000000000000E+000,3.98186743490498,0.000000000000000E+000,0.110450457648475,0.110450457648475,0.110450457648475,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.340612851435269,0.260964031682498 
 01/02  05:00:00,0.587608822898927,4.55652502588324,0.000000000000000E+000,4.22090292175764,0.000000000000000E+000,0.117080909151120,0.117080909151120,0.117080909151120,5.356771943759626E-002,1.098726765447209E-002,6.315175921409334E-002,0.327746155381645,0.313045363999480 
 01/02  06:00:00,0.642761899825053,4.94379124772472,0.000000000000000E+000,4.37704319818992,0.000000000000000E+000,0.121411983771568,0.121411983771568,0.121411983771568,5.356771943759626E-002,1.098726765447209E-002,7.598154876300982E-002,0.365738368138405,0.541554222067945 
 01/02  07:00:00,0.873391238983838,6.67538862491088,0.000000000000000E+000,5.67830647488607,0.000000000000000E+000,0.157506888180578,0.157506888180578,0.157506888180578,0.123205777980724,2.527070783085009E-002,0.129758134509170,0.422574718422518,0.967973159896183 
 01/02  08:00:00,1.11828655622842,5.20319016062244,0.000000000000000E+000,4.08746957199110,0.000000000000000E+000,0.113379687353003,0.113379687353003,0.113379687353003,0.251768291331382,5.164014801928536E-002,0.207406094963531,0.449017298501221,1.08479010571357 
 01/02  09:00:00,1.03528674076379,4.01444432922837,0.000000000000000E+000,2.93475297275919,0.000000000000000E+000,8.140522361066789E-002,8.140522361066789E-002,8.140522361066789E-002,0.241054754093649,4.944269694347590E-002,0.268690864190452,0.379618189865542,1.05354141976047 
 01/02  10:00:00,0.868236669529761,2.84060335572020,0.000000000000000E+000,1.85900109262221,0.000000000000000E+000,5.156563466911029E-002,5.156563466911029E-002,5.156563466911029E-002,0.123205777980724,2.527070783085009E-002,0.330033759705594,0.323085777283484,0.959346552352331 
 01/02  11:00:00,0.862771254129957,2.65477117282516,0.000000000000000E+000,1.78383618762380,0.000000000000000E+000,4.948068375301422E-002,4.948068375301422E-002,4.948068375301422E-002,0.101778637007394,2.087580567923118E-002,0.344876895795482,0.330684219834836,0.848155856987551 
