Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.770710744123574,4.78591947349154,0.000000000000000E+000,4.39427162714541,0.117658698811880,0.117658698811880,0.117658698811880,0.132991937463835,2.755443954505400E-002,9.294299910333617E-002,0.384214656921069,0.365181677844703 
 01/01  02:00:00,0.667991602544363,5.13097876083959,0.000000000000000E+000,4.81952943237624,0.129045177452382,0.129045177452382,0.129045177452382,7.757865884929742E-002,1.607342069256627E-002,7.618584051012475E-002,0.353760492761593,0.287080958746247 
 01/01  03:00:00,0.633996196779046,5.50969926021419,0.000000000000000E+000,5.22001558696571,0.139768383444039,0.139768383444039,0.139768383444039,5.541331988790434E-002,1.148101600202945E-002,6.232654333565033E-002,0.349658921831025,0.265597835354169 
 01/01  04:00:00,0.622841366465617,5.59444850892686,0.000000000000000E+000,5.29908513201196,0.141885507867645,0.141885507867645,0.141885507867645,5.541331988790434E-002,1.148101600202945E-002,5.397647371529803E-002,0.344737036714339,0.271616577207973 
 01/01  05:00:00,0.631621396411274,6.02858085954669,0.000000000000000E+000,5.67092075225203,0.151841582266663,0.151841582266663,0.151841582266663,5.541331988790434E-002,1.148101600202945E-002,6.582291696649339E-002,0.331714549009782,0.334810346125157 
 01/01  06:00:00,0.686679562495194,6.39123707743857,0.000000000000000E+000,5.75871046135052,0.154192193202453,0.154192193202453,0.154192193202453,5.541331988790434E-002,1.148101600202945E-002,8.007824464053613E-002,0.370166776483870,0.607028119079735 
 01/01  07:00:00,0.888399123405830,6.79121447217493,0.000000000000000E+000,5.64394042131700,0.151119171159503,0.151119171159503,0.151119171159503,0.127450643996854,2.640633195888867E-002,0.140383655227083,0.427691308785101,1.11781304503472 
 01/01  08:00:00,1.19084668877555,7.38538353039246,0.000000000000000E+000,6.09041648197540,0.163073778613263,0.163073778613263,0.163073778613263,0.260442581460688,5.396077150394267E-002,0.228567473812190,0.454454059107065,1.26366252245006 
 01/01  09:00:00,1.14513129654928,6.61722100379437,0.000000000000000E+000,5.35624311986376,0.143415939995646,0.143415939995646,0.143415939995646,0.249359925737781,5.166457058390340E-002,0.301128191032485,0.384214656921069,1.23451171542916 
 01/01  10:00:00,0.984912911198974,5.39117942893770,0.000000000000000E+000,4.24438174217045,0.113645326328880,0.113645326328880,0.113645326328880,0.127450643996854,2.640633195888867E-002,0.375064854196324,0.326997742439629,1.12427283719396 
 01/01  11:00:00,0.989253094949607,5.35734251642620,0.000000000000000E+000,4.34444122485775,0.116324466249146,0.116324466249146,0.116324466249146,0.105285332551039,2.181393011881013E-002,0.395793165817765,0.334688187934444,0.989846694827389 
 01/01  12:00:00,0.964128996440283,3.62779695281549,0.000000000000000E+000,2.73691447243096,7.328217800564632E-002,7.328217800564632E-002,7.328217800564632E-002,0.105285332551039,2.181393011881013E-002,0.413608816278677,0.334790727207709,0.867820820347920 
 01/01  13:00:00,0.919835397468418,2.61139377796655,0.000000000000000E+000,1.81435661869583,4.858025562592535E-002,4.858025562592535E-002,4.858025562592535E-002,0.105285332551039,2.181393011881013E-002,0.399656799716067,0.329151067178176,0.774363980490461 
 01/01  14:00:00,0.880063975830501,2.07123827097164,0.000000000000000E+000,1.33135539317396,3.564766962728400E-002,3.564766962728400E-002,3.564766962728400E-002,0.105285332551039,2.181393011881013E-002,0.361436104744461,0.340532926510507,0.716425673209130 
 01/01  15:00:00,0.866733510036492,1.66204633754278,0.000000000000000E+000,0.975559063594215,2.612105481317205E-002,2.612105481317205E-002,2.612105481317205E-002,0.110826626018020,2.296203770497546E-002,0.331768008611008,0.359707770610917,0.661709233088388 
 01/01  16:00:00,0.930412585407795,1.74725100861273,0.000000000000000E+000,1.05331291797866,2.820295099773385E-002,2.820295099773385E-002,2.820295099773385E-002,0.138533299719761,2.870253287892793E-002,0.339922860635529,0.379702928897442,0.667782707137713 
 01/01  17:00:00,1.17095538539410,2.10941343344192,0.000000000000000E+000,1.34041377254668,3.589021201445803E-002,3.589021201445803E-002,3.589021201445803E-002,0.232735907758947,4.822026207769880E-002,0.389638974367272,0.449122016897326,0.738062426297877 
 01/01  18:00:00,1.63090012260327,3.44539656102979,0.000000000000000E+000,2.53002246498936,6.774254676396767E-002,6.774254676396767E-002,6.774254676396767E-002,0.432223917138118,8.955192139527980E-002,0.480422251988538,0.545611473038965,0.877790300311539 
 01/01  19:00:00,1.89947493764789,3.04306710732088,0.000000000000000E+000,1.98647694004513,5.318885854522112E-002,5.318885854522112E-002,5.318885854522112E-002,0.642794513451249,0.133179781632900,0.432594366092666,0.592369381647454,1.01578550876684 
 01/01  20:00:00,1.85428946713410,3.14526427701633,0.000000000000000E+000,2.05817108421371,5.510850312595139E-002,5.510850312595139E-002,5.510850312595139E-002,0.681583842875899,0.141216491979183,0.349590930400065,0.611441686474602,1.04497476131765 
 01/01  21:00:00,1.72958171183966,3.32764738425456,0.000000000000000E+000,2.31409498081925,6.196098636423360E-002,6.196098636423360E-002,6.196098636423360E-002,0.587381166047768,0.121698762780412,0.310730546875078,0.632462237493769,0.969985996358473 
 01/01  22:00:00,1.59808046222294,3.74045740853956,0.000000000000000E+000,2.82821902585988,7.572690055890975E-002,7.572690055890975E-002,7.572690055890975E-002,0.493178558008581,0.102181033581641,0.293949375651685,0.617696582143720,0.869689090164941 
 01/01  23:00:00,1.32433266610074,4.19207494394655,0.000000000000000E+000,3.43900865394469,9.208108140751951E-002,9.208108140751951E-002,9.208108140751951E-002,0.371269276267653,7.692280920891813E-002,0.234174255411816,0.534537231526429,0.716245330194528 
 01/01  24:00:00,1.04889766430343,4.68111013949412,0.000000000000000E+000,4.10364485615926,0.109877029717305,0.109877029717305,0.109877029717305,0.254901287993707,5.281267817006874E-002,0.151455748256992,0.464502907886960,0.545468554401944 
 01/02  01:00:00,0.772279436217405,5.07623043919430,0.000000000000000E+000,4.69837010571455,0.125801079241458,0.125801079241458,0.125801079241458,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351394164978304 
 01/02  02:00:00,0.675353919266131,5.54608425672958,0.000000000000000E+000,5.24190644116288,0.140354521407111,0.140354521407111,0.140354521407111,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279809445849572 
 01/02  03:00:00,0.644427235835643,5.99145830143722,0.000000000000000E+000,5.70711360571707,0.152810663016856,0.152810663016856,0.152810663016856,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.260258857825876 
 01/02  04:00:00,0.639327613228854,6.25542848455609,0.000000000000000E+000,5.96580173515651,0.159737159895179,0.159737159895179,0.159737159895179,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265879949692653 
 01/02  05:00:00,0.644056541674729,6.58102978934926,0.000000000000000E+000,6.23510512114236,0.166947885282519,0.166947885282519,0.166947885282519,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.323074907037391 
 01/02  06:00:00,0.696024496814174,6.85948029675526,0.000000000000000E+000,6.26072327291097,0.167633823398962,0.167633823398962,0.167633823398962,5.541331988790434E-002,1.148101600202945E-002,7.598154876300982E-002,0.370166776483870,0.573258526835960 
 01/02  07:00:00,0.894372894628643,7.33372984478338,0.000000000000000E+000,6.26388436377432,0.167718463100229,0.167718463100229,0.167718463100229,0.127450643996854,2.640633195888867E-002,0.129758134509170,0.427691308785101,1.04038447518586 
 01/02  08:00:00,1.18852589989832,7.99473640159323,0.000000000000000E+000,6.79406755738381,0.181914368584693,0.181914368584693,0.181914368584693,0.260442581460688,5.396077150394267E-002,0.207406094963531,0.454454059107065,1.16936431824239 
 01/02  09:00:00,1.13012042240764,7.16939827398259,0.000000000000000E+000,6.00707954280885,0.160842392696032,0.160842392696032,0.160842392696032,0.249359925737781,5.166457058390340E-002,0.268690864190452,0.384214656921069,1.13585256267229 
 01/02  10:00:00,0.960460751736564,6.06875026170649,0.000000000000000E+000,5.01295585717412,0.134224261357202,0.134224261357202,0.134224261357202,0.127450643996854,2.640633195888867E-002,0.330033759705594,0.326997742439629,1.03326955495908 
 01/02  11:00:00,0.964639865901128,6.26147566878997,0.000000000000000E+000,5.32679703727108,0.142627507222952,0.142627507222952,0.142627507222952,0.105285332551039,2.181393011881013E-002,0.344876895795482,0.334688187934444,0.911624034777839 
 01/02  12:00:00,0.941807485316533,4.68950592244424,0.000000000000000E+000,3.86359077899282,0.103449468391917,0.103449468391917,0.103449468391917,0.105285332551039,2.181393011881013E-002,0.361120014768658,0.334790727207709,0.802853483414790 
 01/02  13:00:00,0.902706708319450,3.70092491200023,0.000000000000000E+000,2.96025069277088,7.926211081645210E-002,7.926211081645210E-002,7.926211081645210E-002,0.105285332551039,2.181393011881013E-002,0.351846255376571,0.329151067178176,0.718001040449076 
 01/02  14:00:00,0.868965896183097,3.23574669352234,0.000000000000000E+000,2.54477890307117,6.813765736502367E-002,6.813765736502367E-002,6.813765736502367E-002,0.105285332551039,2.181393011881013E-002,0.317848037359318,0.340532926510507,0.667510585862605 
 01/02  15:00:00,0.864703551490840,3.00317731704293,0.000000000000000E+000,2.36099287896596,6.321669974318544E-002,6.321669974318544E-002,6.321669974318544E-002,0.110826626018020,2.296203770497546E-002,0.292642405135342,0.359707770610917,0.617406397216806 
 01/02  16:00:00,0.924734316625436,2.87516061961335,0.000000000000000E+000,2.22530843737193,5.958368471781686E-002,5.958368471781686E-002,5.958368471781686E-002,0.138533299719761,2.870253287892793E-002,0.302863858133087,0.379702928897442,0.623696798745056 
