Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.09425786011280,11.4315754145356,0.000000000000000E+000,10.9787137954016,0.000000000000000E+000,0.373463677541559,0.373463677541559,0.373463677541559,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.424352106740853 
 01/01  02:00:00,0.996199051029109,12.3283096263895,0.000000000000000E+000,11.9702115967034,0.000000000000000E+000,0.406980401879800,0.406980401879800,0.406980401879800,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.331848278483483 
 01/01  03:00:00,0.956342057957370,12.6344902791677,0.000000000000000E+000,12.3028013842032,0.000000000000000E+000,0.418205411177600,0.418205411177600,0.418205411177600,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.305743488703434 
 01/01  04:00:00,0.950400718689111,12.8659000397450,0.000000000000000E+000,12.5279697805436,0.000000000000000E+000,0.425916494203353,0.425916494203353,0.425916494203353,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.312350066869990 
 01/01  05:00:00,0.961914843448265,13.3376609423011,0.000000000000000E+000,12.9268578146966,0.000000000000000E+000,0.439613317160370,0.439613317160370,0.439613317160370,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.386189230462390 
 01/01  06:00:00,1.02203403087808,13.7888688249578,0.000000000000000E+000,13.0576380656434,0.000000000000000E+000,0.444052546653178,0.444052546653178,0.444052546653178,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.703763628345833 
 01/01  07:00:00,1.28184474595525,15.2912410321895,0.000000000000000E+000,13.9585736642877,0.000000000000000E+000,0.474973414506144,0.474973414506144,0.474973414506144,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30093179912907 
 01/01  08:00:00,1.60134706056098,15.1867722052293,0.000000000000000E+000,13.6793182587923,0.000000000000000E+000,0.465636091672989,0.465636091672989,0.465636091672989,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47373252692110 
 01/01  09:00:00,1.47700011629897,12.5434437086097,0.000000000000000E+000,11.0750963571150,0.000000000000000E+000,0.375799447003123,0.375799447003123,0.375799447003123,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.43983783910153 
 01/01  10:00:00,1.23546486283725,10.2519306194671,0.000000000000000E+000,8.91396150962622,0.000000000000000E+000,0.302389630867520,0.302389630867520,0.302389630867520,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31370520938143 
 01/01  11:00:00,1.21041315710059,9.46232951534042,0.000000000000000E+000,8.27912608920029,0.000000000000000E+000,0.281128816326684,0.281128816326684,0.281128816326684,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.15836887891538 
 01/01  12:00:00,1.14553047670386,6.90431435514587,0.000000000000000E+000,5.86414290060046,0.000000000000000E+000,0.198320019788337,0.198320019788337,0.198320019788337,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01532929869715 
