Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.01513708257624,6.26818632516969,0.000000000000000E+000,6.24021892442131,0.000000000000000E+000,0.153511706508341,0.153511706508341,0.153511706508341,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558870 
 01/01  02:00:00,0.833906892283919,6.52540925143045,0.000000000000000E+000,6.49965864225461,0.000000000000000E+000,0.159941288415773,0.159941288415773,0.159941288415773,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448861386894E-002 
 01/01  03:00:00,0.777099111843739,6.89719814024874,0.000000000000000E+000,6.87174608886044,0.000000000000000E+000,0.169169931904325,0.169169931904325,0.169169931904325,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067935614E-002 
 01/01  04:00:00,0.774317569315135,7.14673372755477,0.000000000000000E+000,7.12163994551151,0.000000000000000E+000,0.175274357736588,0.175274357736588,0.175274357736588,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024234E-002 
 01/01  05:00:00,0.824800323231295,7.28782104835184,0.000000000000000E+000,7.26367518728406,0.000000000000000E+000,0.178642765904864,0.178642765904864,0.178642765904864,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.09104077702275,7.29693367927875,0.000000000000000E+000,7.26998883895270,0.000000000000000E+000,0.178493782985993,0.178493782985993,0.178493782985993,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.70572176478845,7.12597071256523,0.000000000000000E+000,7.09483859926887,0.000000000000000E+000,0.173927613380781,0.173927613380781,0.173927613380781,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.14842335882525,7.59698593320083,0.000000000000000E+000,7.56390573034074,0.000000000000000E+000,0.185086080798639,0.185086080798639,0.185086080798639,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.07722342628832,6.93928160824521,0.000000000000000E+000,6.91131420749683,0.000000000000000E+000,0.169109667587089,0.169109667587089,0.169109667587089,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.83119400062183,6.85447548270558,0.000000000000000E+000,6.83067296309347,0.000000000000000E+000,0.167087444542108,0.167087444542108,0.167087444542108,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.75466381832375,8.02210970996733,0.000000000000000E+000,7.99774739450358,0.000000000000000E+000,0.197371962973355,0.197371962973355,0.197371962973355,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.64513882570446,6.73784859570265,0.000000000000000E+000,6.71347881629420,0.000000000000000E+000,0.164615302022186,0.164615302022186,0.164615302022186,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266617215115 
 01/01  13:00:00,1.54259443632154,6.32268030877923,0.000000000000000E+000,6.29872104632867,0.000000000000000E+000,0.154498941244109,0.154498941244109,0.154498941244109,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750556768244 
 01/01  14:00:00,1.46555664431037,6.04930006759452,0.000000000000000E+000,6.02451230728352,0.000000000000000E+000,0.148475788931730,0.148475788931730,0.148475788931730,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928346094062 
 01/01  15:00:00,1.41895378977182,5.93709749774784,0.000000000000000E+000,5.91091397978004,0.000000000000000E+000,0.145888869016855,0.145888869016855,0.145888869016855,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516745204845 
 01/01  16:00:00,1.49000246378846,5.84505435522108,0.000000000000000E+000,5.81741536803902,0.000000000000000E+000,0.143840402665374,0.143840402665374,0.143840402665374,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328370718036 
