Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.986349544179332,4.94139172379735,0.000000000000000E+000,4.91342432304898,0.000000000000000E+000,0.124724168111419,0.124724168111419,0.124724168111419,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558882 
 01/01  02:00:00,0.810354406713173,5.41785574035835,0.000000000000000E+000,5.39210513118249,0.000000000000000E+000,0.136388802845029,0.136388802845029,0.136388802845029,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808448861386894E-002 
 01/01  03:00:00,0.755416677539320,5.85485649958206,0.000000000000000E+000,5.82940444819377,0.000000000000000E+000,0.147487497599907,0.147487497599907,0.147487497599907,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181067935614E-002 
 01/01  04:00:00,0.754105191108465,6.15903941197584,0.000000000000000E+000,6.13394562993261,0.000000000000000E+000,0.155061979529920,0.155061979529920,0.155061979529920,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424024234E-002 
 01/01  05:00:00,0.805450965207848,6.33024460295824,0.000000000000000E+000,6.30609874189046,0.000000000000000E+000,0.159293407881420,0.159293407881420,0.159293407881420,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296784385 
 01/01  06:00:00,1.07332224481941,6.40447225598109,0.000000000000000E+000,6.37752741565505,0.000000000000000E+000,0.160775250782656,0.160775250782656,0.160775250782656,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215976 
 01/01  07:00:00,1.68924162463531,6.28586544344497,0.000000000000000E+000,6.25473333014861,0.000000000000000E+000,0.157447473227638,0.157447473227638,0.157447473227638,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249335 
 01/01  08:00:00,2.13015504600858,6.67392860309769,0.000000000000000E+000,6.64084840023758,0.000000000000000E+000,0.166817767981968,0.166817767981968,0.166817767981968,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.05220163440716,5.78602186608037,0.000000000000000E+000,5.75805446533200,0.000000000000000E+000,0.144087875705922,0.144087875705922,0.144087875705922,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.78309639877866,4.78818717223584,0.000000000000000E+000,4.76438465262373,0.000000000000000E+000,0.118989842698941,0.118989842698941,0.118989842698941,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.67868553545943,4.82988659552330,0.000000000000000E+000,4.80552428005954,0.000000000000000E+000,0.121393677518900,0.121393677518900,0.121393677518900,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958964690560 
 01/01  12:00:00,1.55592933680071,3.02946229861509,0.000000000000000E+000,3.00509251920665,0.000000000000000E+000,7.540582776503034E-002,7.540582776503034E-002,7.540582776503034E-002,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266602568523 
 01/01  13:00:00,1.43711408773706,1.96905520464753,0.000000000000000E+000,1.94509594219696,0.000000000000000E+000,4.901860196320936E-002,4.901860196320936E-002,4.901860196320936E-002,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750547464664 
 01/01  14:00:00,1.35132313989159,1.37120284677642,0.000000000000000E+000,1.34641508646542,0.000000000000000E+000,3.424228946108659E-002,3.424228946108659E-002,3.424228946108659E-002,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928341145933 
 01/01  15:00:00,1.29618447923484,0.929260349812118,0.000000000000000E+000,0.903076831844332,0.000000000000000E+000,2.311955888140936E-002,2.311955888140936E-002,2.311955888140936E-002,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516744803319 
 01/01  16:00:00,1.36305421961964,0.684389176146453,0.000000000000000E+000,0.656750188964378,0.000000000000000E+000,1.689215843690335E-002,1.689215843690335E-002,1.689215843690335E-002,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328370777687 
 01/01  17:00:00,1.67700854852535,0.826334184678727,0.000000000000000E+000,0.793642106942436,0.000000000000000E+000,2.058226437898652E-002,2.058226437898652E-002,2.058226437898652E-002,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447915246829044 
 01/01  18:00:00,2.29305917970284,2.11393482780253,0.000000000000000E+000,2.07421917811422,0.000000000000000E+000,5.431535885275676E-002,5.431535885275676E-002,5.431535885275676E-002,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556680844613525 
 01/01  19:00:00,2.71485810564260,1.61648956696578,0.000000000000000E+000,1.57337035849944,0.000000000000000E+000,4.068195867052312E-002,4.068195867052312E-002,4.068195867052312E-002,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.664128340189875 
 01/01  20:00:00,2.70839785420802,1.97227611454215,0.000000000000000E+000,1.92776861236372,0.000000000000000E+000,4.968793979734087E-002,4.968793979734087E-002,4.968793979734087E-002,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.686910218520252 
 01/01  21:00:00,2.51749286090328,2.62621328209108,0.000000000000000E+000,2.58017567125148,0.000000000000000E+000,6.643958179917375E-002,6.643958179917375E-002,6.643958179917375E-002,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.628499248880964 
 01/01  22:00:00,2.29394296954280,3.39341901489568,0.000000000000000E+000,3.34845621209124,0.000000000000000E+000,8.591912623567100E-002,8.591912623567100E-002,8.591912623567100E-002,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.550454851229084 
 01/01  23:00:00,1.87186804974703,4.04233888871930,0.000000000000000E+000,4.00342934505736,0.000000000000000E+000,0.102185066378707,0.102185066378707,0.102185066378707,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.431370959073380 
 01/01  24:00:00,1.43420148290298,4.65780957187593,0.000000000000000E+000,4.62399790243633,0.000000000000000E+000,0.117543312058245,0.117543312058245,0.117543312058245,0.295204238682502,6.359484000339130E-002,0.151455748256992,0.490883285944670,0.298876044641978 
 01/02  01:00:00,0.976303920534895,5.22666070015424,0.000000000000000E+000,5.19869329940587,0.000000000000000E+000,0.131816425175824,0.131816425175824,0.131816425175824,0.154019599327161,3.317992398525795E-002,8.636931076758889E-002,0.406035247778074,0.148239400185788 
 01/02  02:00:00,0.808619180608669,5.72438564207496,0.000000000000000E+000,5.69863503289913,0.000000000000000E+000,0.144160295823990,0.144160295823990,0.144160295823990,8.984479946806206E-002,1.935495279772985E-002,7.223881327716383E-002,0.373851509163160,9.252479676336320E-002 
 01/02  03:00:00,0.754857126196321,6.11048334091079,0.000000000000000E+000,6.08503128952250,0.000000000000000E+000,0.153618095086707,0.153618095086707,0.153618095086707,6.417484765829316E-002,1.382496603892098E-002,5.971530281942931E-002,0.369516998911993,7.736290236577793E-002 
 01/02  04:00:00,0.754760486873973,6.43276309587669,0.000000000000000E+000,6.40766931383343,0.000000000000000E+000,0.161461428529280,0.161461428529280,0.161461428529280,6.417484765829316E-002,1.382496603892098E-002,5.261106845099969E-002,0.364315586610592,8.172857627068704E-002 
 01/02  05:00:00,0.799078282312595,6.55961385952797,0.000000000000000E+000,6.53546799846019,0.000000000000000E+000,0.164546358653907,0.164546358653907,0.164546358653907,6.417484765829316E-002,1.382496603892098E-002,6.315175921409334E-002,0.350553516563136,0.126182820869044 
 01/02  06:00:00,1.04716077165073,6.57529167470877,0.000000000000000E+000,6.54834683438275,0.000000000000000E+000,0.164471088696707,0.164471088696707,0.164471088696707,6.417484765829316E-002,1.382496603892098E-002,7.598154876300982E-002,0.391189550167829,0.320874757010772 
 01/02  07:00:00,1.62084410894358,6.35981393313399,0.000000000000000E+000,6.32868181983763,0.000000000000000E+000,0.158753631873348,0.158753631873348,0.158753631873348,0.147602159173913,3.179742000169565E-002,0.129758134509170,0.451981056440445,0.684307693629811 
 01/02  08:00:00,2.01984085045535,6.00828520030973,0.000000000000000E+000,5.97520499744965,0.000000000000000E+000,0.149590058339236,0.149590058339236,0.149590058339236,0.301621758501075,6.497734398695361E-002,0.207406094963531,0.480263735829312,0.784337833520045 
 01/02  09:00:00,1.93724630637326,5.49670956059846,0.000000000000000E+000,5.46874215985009,0.000000000000000E+000,0.136838708336266,0.136838708336266,0.136838708336266,0.288786798529254,6.221235318185273E-002,0.268690864190452,0.406035247778074,0.758038321042163 
 01/02  10:00:00,1.66689102065683,4.70454033674504,0.000000000000000E+000,4.68073781713295,0.000000000000000E+000,0.117208145052756,0.117208145052756,0.117208145052756,0.147602159173913,3.179742000169565E-002,0.330033759705594,0.345568829774295,0.678036693633379 
 01/02  11:00:00,1.56122580158872,4.55531850178711,0.000000000000000E+000,4.53095618632335,0.000000000000000E+000,0.114463329299630,0.114463329299630,0.114463329299630,0.121932239230273,2.626743839149390E-002,0.344876895795482,0.353696036495233,0.583345849061409 
 01/02  12:00:00,1.44044143557029,2.49244386984097,0.000000000000000E+000,2.46807409043252,0.000000000000000E+000,6.188507209332417E-002,6.188507209332417E-002,6.188507209332417E-002,0.121932239230273,2.626743839149390E-002,0.361120014768658,0.353804399251512,0.498788258519829 
 01/02  13:00:00,1.32728127380553,1.21273349185697,0.000000000000000E+000,1.18877422940640,0.000000000000000E+000,2.990917762946768E-002,2.990917762946768E-002,2.990917762946768E-002,0.121932239230273,2.626743839149390E-002,0.351846255376571,0.347844447656158,0.432837702206368 
 01/02  14:00:00,1.24712642528229,0.453291119137622,0.000000000000000E+000,0.428503358826610,0.000000000000000E+000,1.084394035704790E-002,1.084394035704790E-002,1.084394035704790E-002,0.121932239230273,2.626743839149390E-002,0.317848037359318,0.359872713603146,0.393718043025810 
 01/02  15:00:00,1.20018469933852,2.618351796778723E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.128349679383521,2.764992521303248E-002,0.292642405135342,0.380136549027352,0.354762127264069 
 01/02  16:00:00,1.27536315541079,2.763898718207414E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.160437119145733,3.456241080679652E-002,0.302863858133087,0.401267286501792,0.359588467508183 
 01/02  17:00:00,1.57903905142640,3.269207773629071E-002,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.269534318738862,5.806485839318955E-002,0.353721026385214,0.474628872502794,0.406445962091140 
 01/02  18:00:00,2.16679503455555,0.541863194002644,0.000000000000000E+000,0.502147544314331,0.000000000000000E+000,1.287484340932738E-002,1.287484340932738E-002,1.287484340932738E-002,0.500563757562266,0.107834727209053,0.445070293491817,0.576598226161501,0.507209173406395 
 01/02  19:00:00,2.57830997933830,0.144223800802875,0.000000000000000E+000,0.101104592336539,0.000000000000000E+000,2.592564679703318E-003,2.592564679703318E-003,2.592564679703318E-003,0.744428156357487,0.160369603992041,0.398284023104866,0.626011643024805,0.599979950864202 
 01/02  20:00:00,2.56287060408784,0.441612105109382,0.000000000000000E+000,0.397104602930956,0.000000000000000E+000,1.025426962439564E-002,1.025426962439564E-002,1.025426962439564E-002,0.789350556091520,0.170047080390905,0.315346148810717,0.646167115692732,0.615061420162373 
 01/02  21:00:00,2.37314358458118,1.02215840921231,0.000000000000000E+000,0.976120798372705,0.000000000000000E+000,2.539775028882073E-002,2.539775028882073E-002,2.539775028882073E-002,0.680253356498389,0.146544632804512,0.275875148663200,0.668381480729962,0.560047202281092 
 01/02  22:00:00,2.15934609441194,1.74846068043634,0.000000000000000E+000,1.70349787763191,0.000000000000000E+000,4.432353726126004E-002,4.432353726126004E-002,4.432353726126004E-002,0.571156156905260,0.123042202380143,0.258342489697899,0.652777243825761,0.493060451026417 
 01/02  23:00:00,1.76033918613271,2.51423385936773,0.000000000000000E+000,2.47532431570579,0.000000000000000E+000,6.407775998632392E-002,6.407775998632392E-002,6.407775998632392E-002,0.429971437884595,9.262726919998608E-002,0.205881020852975,0.564895048483349,0.386242636410281 
 01/02  24:00:00,1.35745322615568,3.31428308413337,0.000000000000000E+000,3.28047141469378,0.000000000000000E+000,8.442803235599879E-002,8.442803235599879E-002,8.442803235599879E-002,0.295204238682502,6.359484000339130E-002,0.135920890493347,0.490883285944670,0.270777925360570 
 01/03  01:00:00,0.948918763080870,4.09633260472518,0.000000000000000E+000,4.06836520397681,0.000000000000000E+000,0.104206986293578,0.104206986293578,0.104206986293578,0.154019599327161,3.317992398525795E-002,8.636931076758889E-002,0.406035247778074,0.148463681614009 
 01/03  02:00:00,0.782689835251420,4.65914657501100,0.000000000000000E+000,4.63339596583517,0.000000000000000E+000,0.118118819577516,0.118118819577516,0.118118819577516,8.984479946806206E-002,1.935495279772985E-002,7.223881327716383E-002,0.373851509163160,9.263692765258756E-002 
 01/03  03:00:00,0.729438607460014,5.06865278828346,0.000000000000000E+000,5.04320073689517,0.000000000000000E+000,0.128120531802454,0.128120531802454,0.128120531802454,6.417484765829316E-002,1.382496603892098E-002,5.971530281942931E-002,0.369516998911993,7.744194691372212E-002 
 01/03  04:00:00,0.728508648251361,5.35380108326911,0.000000000000000E+000,5.32870730122585,0.000000000000000E+000,0.135121352788917,0.135121352788917,0.135121352788917,6.417484765829316E-002,1.382496603892098E-002,5.261106845099969E-002,0.364315586610592,8.181681338843723E-002 
 01/03  05:00:00,0.774817302950230,5.56105594271331,0.000000000000000E+000,5.53691008164552,0.000000000000000E+000,0.140105389505548,0.140105389505548,0.140105389505548,6.417484765829316E-002,1.382496603892098E-002,6.315175921409334E-002,0.350553516563136,0.126362810655037 
 01/03  06:00:00,1.02456074249394,5.61834373041039,0.000000000000000E+000,5.59139889008434,0.000000000000000E+000,0.141302204936459,0.141302204936459,0.141302204936459,6.417484765829316E-002,1.382496603892098E-002,7.598154876300982E-002,0.391189550167829,0.321443611614234 
