Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,2.65120932559996,0.000000000000000E+000,1.79863073107328,0.000000000000000E+000,5.590748939179268E-002,1.85453822046507,5.590748939179268E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.405549349774837,0.128171790657620 
 01/01  02:00:00,2.68812524151520,0.000000000000000E+000,1.98864578762821,0.000000000000000E+000,6.192653226584340E-002,2.05057231989405,6.192653226584340E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.373404125092925,8.251094562608230E-002 
 01/01  03:00:00,2.61866884621785,0.000000000000000E+000,1.97558039741739,0.000000000000000E+000,6.161329626121757E-002,2.03719369367861,6.161329626121757E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.369074801903441,7.044380814808532E-002 
 01/01  04:00:00,2.57794024196057,0.000000000000000E+000,1.94587240058203,0.000000000000000E+000,6.071320897330832E-002,2.00658560955533,6.071320897330832E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.363879614076061,7.386854546181491E-002 
 01/01  05:00:00,2.48101838971184,0.000000000000000E+000,1.81851444273405,0.000000000000000E+000,5.676835632367067E-002,1.87528279905773,5.676835632367067E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.350134012949453,0.110148661586105 
 01/01  06:00:00,2.63434753218807,0.000000000000000E+000,1.76040300115703,0.000000000000000E+000,5.495362498791399E-002,1.81535662614494,5.495362498791399E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.390721417850856,0.268561244399663 
 01/01  07:00:00,3.38995599999780,0.000000000000000E+000,2.00666194619795,0.000000000000000E+000,6.284845834708978E-002,2.06951040454504,6.284845834708978E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.451440175583357,0.565070266770755 
 01/01  08:00:00,3.06644642859885,0.000000000000000E+000,1.32173988910833,0.000000000000000E+000,4.121628918155802E-002,1.36295617828989,4.121628918155802E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.479689009394737,0.646750291691361 
 01/01  09:00:00,2.79282423486291,0.000000000000000E+000,1.11817559026426,0.000000000000000E+000,3.484363002078977E-002,1.15301922028505,3.484363002078977E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.405549349774837,0.627555010673424 
 01/01  10:00:00,2.70740764344780,0.000000000000000E+000,1.22371217817760,0.000000000000000E+000,3.817932696297352E-002,1.26189150514057,3.817932696297352E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.345155291281545,0.561744494957781 
