Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.914085295354490,2.07903359983797,0.000000000000000E+000,2.05106619908960,0.000000000000000E+000,5.245991928657574E-002,5.245991928657574E-002,5.245991928657574E-002,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558884 
 01/01  02:00:00,0.738145985391549,2.55226729858586,0.000000000000000E+000,2.52651668941002,0.000000000000000E+000,6.418037199041457E-002,6.418037199041457E-002,6.418037199041457E-002,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808449814685824E-002 
 01/01  03:00:00,0.683734730509541,3.02429933202997,0.000000000000000E+000,2.99884728064165,0.000000000000000E+000,7.580554727473875E-002,7.580554727473875E-002,7.580554727473875E-002,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181397474518E-002 
 01/01  04:00:00,0.679145288494488,3.20712653139615,0.000000000000000E+000,3.18203274935291,0.000000000000000E+000,8.010207685443382E-002,8.010207685443382E-002,8.010207685443382E-002,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732430175100E-002 
 01/01  05:00:00,0.730956977733134,3.40446988763979,0.000000000000000E+000,3.38032402657200,0.000000000000000E+000,8.479938301815854E-002,8.479938301815854E-002,8.479938301815854E-002,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137334172930 
 01/01  06:00:00,0.998681485981019,3.46371521534343,0.000000000000000E+000,3.43677037501741,0.000000000000000E+000,8.613448853546098E-002,8.613448853546098E-002,8.613448853546098E-002,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635375624781 
 01/01  07:00:00,1.61152762282627,3.21853953649954,0.000000000000000E+000,3.18740742320318,0.000000000000000E+000,7.973347123095345E-002,7.973347123095345E-002,7.973347123095345E-002,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847436974 
 01/01  08:00:00,2.03511654877178,2.91396008535881,0.000000000000000E+000,2.88087988249870,0.000000000000000E+000,7.177927074186315E-002,7.177927074186315E-002,7.177927074186315E-002,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940585188 
 01/01  09:00:00,1.97910704755169,2.87021097950489,0.000000000000000E+000,2.84224357875652,0.000000000000000E+000,7.099328885042563E-002,7.099328885042563E-002,7.099328885042563E-002,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864393 
 01/01  10:00:00,1.72744304607638,2.55548570487001,0.000000000000000E+000,2.53168318525790,0.000000000000000E+000,6.333648999666701E-002,6.333648999666701E-002,6.333648999666701E-002,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.62204468019222,2.59803127357610,0.000000000000000E+000,2.57366895811235,0.000000000000000E+000,6.475282780959137E-002,6.475282780959137E-002,6.475282780959137E-002,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958959132664 
