Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.02227728745615,6.34000934637428,0.000000000000000E+000,6.31204194562591,0.000000000000000E+000,0.160651900564268,0.160651900564268,0.160651900564268,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803603382855 
 01/01  02:00:00,0.842872443552296,6.65952913339363,0.000000000000000E+000,6.63377852421780,0.000000000000000E+000,0.168906833829250,0.168906833829250,0.168906833829250,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808449446877057E-002 
 01/01  03:00:00,0.780856754737429,6.79506730390305,0.000000000000000E+000,6.76961525251473,0.000000000000000E+000,0.172927574635510,0.172927574635510,0.172927574635510,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181084186321E-002 
 01/01  04:00:00,0.770830337618868,6.75076968685865,0.000000000000000E+000,6.72567590481542,0.000000000000000E+000,0.171787126037324,0.171787126037324,0.171787126037324,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732424324040E-002 
 01/01  05:00:00,0.814504707378175,6.60768757154188,0.000000000000000E+000,6.58354171047410,0.000000000000000E+000,0.168347152447121,0.168347152447121,0.168347152447121,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137294389008 
 01/01  06:00:00,1.07472300589933,6.35781902752174,0.000000000000000E+000,6.33087418719569,0.000000000000000E+000,0.162176018369771,0.162176018369771,0.162176018369771,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635365708785 
 01/01  07:00:00,1.69722663137880,6.46447172807233,0.000000000000000E+000,6.43333961477596,0.000000000000000E+000,0.165432482294671,0.165432482294671,0.165432482294671,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385844925795 
 01/01  08:00:00,2.10821377644961,5.67049135237506,0.000000000000000E+000,5.63741114951498,0.000000000000000E+000,0.144876498505654,0.144876498505654,0.144876498505654,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940499229 
 01/01  09:00:00,2.04794160086028,5.46974030190966,0.000000000000000E+000,5.44177290116128,0.000000000000000E+000,0.139827856689744,0.139827856689744,0.139827856689744,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307140333662 
 01/01  10:00:00,1.79909021230237,5.26045253548888,0.000000000000000E+000,5.23665001587677,0.000000000000000E+000,0.134983659466728,0.134983659466728,0.134983659466728,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429276374218 
 01/01  11:00:00,1.71033241962537,5.91613067244920,0.000000000000000E+000,5.89176835698544,0.000000000000000E+000,0.153040564300428,0.153040564300428,0.153040564300428,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962074978 
 01/01  12:00:00,1.60208634341964,4.72952363441324,0.000000000000000E+000,4.70515385500480,0.000000000000000E+000,0.121562845735886,0.121562845735886,0.121562845735886,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266591216597 
 01/01  13:00:00,1.50099177062717,4.37647250079984,0.000000000000000E+000,4.35251323834928,0.000000000000000E+000,0.112896288447087,0.112896288447087,0.112896288447087,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750543870892 
 01/01  14:00:00,1.42559138671567,4.19696101351015,0.000000000000000E+000,4.17217325319915,0.000000000000000E+000,0.108510536724812,0.108510536724812,0.108510536724812,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340706277 
