Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.02311384603454,6.33708040144021,0.000000000000000E+000,6.30911300069184,0.000000000000000E+000,0.161488469966629,0.161488469966629,0.161488469966629,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592558884 
 01/01  02:00:00,0.856210571601893,7.19297736303056,0.000000000000000E+000,7.16722675385471,0.000000000000000E+000,0.182244960998570,0.182244960998570,0.182244960998570,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808449534904433E-002 
 01/01  03:00:00,0.803135842136904,7.75003833991118,0.000000000000000E+000,7.72458628852289,0.000000000000000E+000,0.195206660388020,0.195206660388020,0.195206660388020,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144181248882787E-002 
 01/01  04:00:00,0.805285873456995,8.21990992137726,0.000000000000000E+000,8.19481613933403,0.000000000000000E+000,0.206242650650344,0.206242650650344,0.206242650650344,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610733546834522E-002 
 01/01  05:00:00,0.864068204508755,8.70330385520276,0.000000000000000E+000,8.67915799413498,0.000000000000000E+000,0.217910626582569,0.217910626582569,0.217910626582569,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137317384142 
 01/01  06:00:00,1.13985661980411,9.10437005650622,0.000000000000000E+000,9.07742521618017,0.000000000000000E+000,0.227309603413649,0.227309603413649,0.227309603413649,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635394569686 
 01/01  07:00:00,1.78680793588812,10.2079292141159,0.000000000000000E+000,10.1767971008196,0.000000000000000E+000,0.255013759879349,0.255013759879349,0.255013759879349,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385871850436 
 01/01  08:00:00,2.21613444985292,10.1163466803958,0.000000000000000E+000,10.0832664775357,0.000000000000000E+000,0.252797171768150,0.252797171768150,0.252797171768150,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940640043 
 01/01  09:00:00,2.13332619331383,9.14037436938462,0.000000000000000E+000,9.11240696863624,0.000000000000000E+000,0.225212434610625,0.225212434610625,0.225212434610625,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154866338 
 01/01  10:00:00,1.87197100456251,8.41860162366355,0.000000000000000E+000,8.39479910405144,0.000000000000000E+000,0.207864448482761,0.207864448482761,0.207864448482761,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618323 
