Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,2.82154551308852,0.000000000000000E+000,1.96334505059457,0.000000000000000E+000,6.152935735905429E-002,2.02487440795363,6.152935735905429E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.405549349774837,0.128171790657618 
 01/01  02:00:00,2.89221641352378,0.000000000000000E+000,2.18648399324233,0.000000000000000E+000,6.817949866029613E-002,2.25466349190262,6.817949866029613E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.373404125092925,8.251094562608259E-002 
 01/01  03:00:00,3.09039578948482,0.000000000000000E+000,2.43310724153762,0.000000000000000E+000,7.581338426298305E-002,2.50892062580061,7.581338426298305E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.369074801903441,7.044381929305757E-002 
 01/01  04:00:00,3.23915283497611,0.000000000000000E+000,2.58727046944776,0.000000000000000E+000,8.052772731152837E-002,2.66779819675929,8.052772731152837E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.363879614076061,7.386855127340068E-002 
 01/01  05:00:00,3.37347238728858,0.000000000000000E+000,2.68427625284300,0.000000000000000E+000,8.346051246349211E-002,2.76773676530650,8.346051246349211E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.350134012949453,0.110148692914064 
 01/01  06:00:00,3.59453060937038,0.000000000000000E+000,2.69188563453562,0.000000000000000E+000,8.365406263551212E-002,2.77553969717113,8.365406263551212E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.390721417850856,0.268561250555796 
 01/01  07:00:00,4.93391513051070,0.000000000000000E+000,3.50411673531237,0.000000000000000E+000,0.109352808657681,3.61346954397004,0.109352808657681,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.451440175583357,0.565070257858628 
 01/01  08:00:00,4.36613373673856,0.000000000000000E+000,2.58268005532054,0.000000000000000E+000,7.996343445609777E-002,2.66264348977663,7.996343445609777E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.479689009394737,0.646750288344320 
 01/01  09:00:00,4.26088167244078,0.000000000000000E+000,2.54247121550494,0.000000000000000E+000,7.860542889290531E-002,2.62107664439784,7.860542889290531E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.405549349774837,0.627555024138476 
 01/01  10:00:00,3.85734700851680,0.000000000000000E+000,2.33913200511205,0.000000000000000E+000,7.269886507957081E-002,2.41183087019162,7.269886507957081E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.345155291281545,0.561744494975748 
 01/01  11:00:00,4.30524656173916,0.000000000000000E+000,2.84589568183645,0.000000000000000E+000,8.928110787387916E-002,2.93517678971033,8.928110787387916E-002,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.353272772261828,0.483274379202608 
