Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.983705778437779,10.0046819989175,0.000000000000000E+000,9.54886414657671,0.000000000000000E+000,0.262911595866538,0.262911595866538,0.262911595866538,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.427308339947704 
 01/01  02:00:00,0.843636792414072,9.60200074277962,0.000000000000000E+000,9.24038469452959,0.000000000000000E+000,0.254418143264762,0.254418143264762,0.254418143264762,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.335366297047406 
 01/01  03:00:00,0.793238833961121,9.60088335834390,0.000000000000000E+000,9.26522894838715,0.000000000000000E+000,0.255102187181351,0.255102187181351,0.255102187181351,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.309709003695630 
 01/01  04:00:00,0.779523293349477,9.60536502665782,0.000000000000000E+000,9.26293651150072,0.000000000000000E+000,0.255039068863720,0.255039068863720,0.255039068863720,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.316848322825711 
 01/01  05:00:00,0.780570351565323,9.79584486204192,0.000000000000000E+000,9.38024022007009,0.000000000000000E+000,0.258268825277427,0.258268825277427,0.258268825277427,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.390990744829687 
 01/01  06:00:00,0.833362133952857,10.0117814936263,0.000000000000000E+000,9.27534261803588,0.000000000000000E+000,0.255380649727954,0.255380649727954,0.255380649727954,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.708971744621853 
 01/01  07:00:00,1.05146010828844,10.2211667603027,0.000000000000000E+000,8.88338528438949,0.000000000000000E+000,0.244588776839333,0.244588776839333,0.244588776839333,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30604590714041 
 01/01  08:00:00,1.39236316524612,10.8340735213697,0.000000000000000E+000,9.32152478047552,0.000000000000000E+000,0.256652196358128,0.256652196358128,0.256652196358128,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47882732137825 
 01/01  09:00:00,1.32826059402473,9.72190311120560,0.000000000000000E+000,8.24674304388104,0.000000000000000E+000,0.227059924728883,0.227059924728883,0.227059924728883,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44665055493145 
 01/01  10:00:00,1.13162721221729,8.55496490195925,0.000000000000000E+000,7.21134371867044,0.000000000000000E+000,0.198551980247565,0.198551980247565,0.198551980247565,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31935728282937 
 01/01  11:00:00,1.14858273738029,9.15314657186573,0.000000000000000E+000,7.96484685224538,0.000000000000000E+000,0.219298396606378,0.219298396606378,0.219298396606378,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16346517239561 
 01/01  12:00:00,1.12384315960269,7.45972210861058,0.000000000000000E+000,6.41524264551118,0.000000000000000E+000,0.176632702687165,0.176632702687165,0.176632702687165,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01963730725112 
 01/01  13:00:00,1.08511660460443,6.67138444821065,0.000000000000000E+000,5.73610369979646,0.000000000000000E+000,0.157933776690089,0.157933776690089,0.157933776690089,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.910857066860445 
 01/01  14:00:00,1.05865731343705,6.58606091490604,0.000000000000000E+000,5.71793344667810,0.000000000000000E+000,0.157433489936469,0.157433489936469,0.157433489936469,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.842859229461589 
 01/01  15:00:00,1.06886321955924,6.92403380309550,0.000000000000000E+000,6.11802600315783,0.000000000000000E+000,0.168449352232103,0.168449352232103,0.168449352232103,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.779316748569911 
 01/01  16:00:00,1.14819958713524,7.24599396437662,0.000000000000000E+000,6.43166904106270,0.000000000000000E+000,0.177084975313783,0.177084975313783,0.177084975313783,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.786150190356444 
 01/01  17:00:00,1.42349327682403,7.74634484035633,0.000000000000000E+000,6.84481060001160,0.000000000000000E+000,0.188460119510486,0.188460119510486,0.188460119510486,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.868208469252720 
 01/01  18:00:00,1.96298502895307,9.71463054943672,0.000000000000000E+000,8.64349979296133,0.000000000000000E+000,0.237983941289420,0.237983941289420,0.237983941289420,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03064527063507 
 01/01  19:00:00,2.27774342302586,8.80724634783564,0.000000000000000E+000,7.57480946458153,0.000000000000000E+000,0.208559386137255,0.208559386137255,0.208559386137255,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18848186508093 
 01/01  20:00:00,2.23315229304384,8.49554516181708,0.000000000000000E+000,7.22826944069843,0.000000000000000E+000,0.199018000972257,0.199018000972257,0.199018000972257,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22190549896759 
 01/01  21:00:00,2.08747891223805,8.77310630577110,0.000000000000000E+000,7.58996701487612,0.000000000000000E+000,0.208976723286072,0.208976723286072,0.208976723286072,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13620930091885 
