Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.980245752236563,9.87817497932436,0.000000000000000E+000,9.42319711378533,0.000000000000000E+000,0.259451569665323,0.259451569665323,0.259451569665323,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.426468353145935 
 01/01  02:00:00,0.856821740470580,10.0806616766749,0.000000000000000E+000,9.71925774444703,0.000000000000000E+000,0.267603091321271,0.267603091321271,0.267603091321271,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.335154181025305 
 01/01  03:00:00,0.810650863778733,10.2329778240262,0.000000000000000E+000,9.89762824099540,0.000000000000000E+000,0.272514216998962,0.272514216998962,0.272514216998962,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.309404176769660 
 01/01  04:00:00,0.800067611948394,10.3509101221826,0.000000000000000E+000,10.0090995197868,0.000000000000000E+000,0.275583387462637,0.275583387462637,0.275583387462637,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.316230410064515 
 01/01  05:00:00,0.810512264094459,10.8828101088151,0.000000000000000E+000,10.4677208010885,0.000000000000000E+000,0.288210737806564,0.288210737806564,0.288210737806564,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.390475410584492 
 01/01  06:00:00,0.882637000293888,11.8009254235470,0.000000000000000E+000,11.0649898299834,0.000000000000000E+000,0.304655516068985,0.304655516068985,0.304655516068985,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.708468462595047 
 01/01  07:00:00,1.10359810243993,12.1143846870399,0.000000000000000E+000,10.7770203725899,0.000000000000000E+000,0.296726770990827,0.296726770990827,0.296726770990827,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30562874567723 
 01/01  08:00:00,1.42395138574704,11.9802714374991,0.000000000000000E+000,10.4687987346776,0.000000000000000E+000,0.288240416859046,0.288240416859046,0.288240416859046,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47775128330557 
 01/01  09:00:00,1.39064187810793,11.9865141653847,0.000000000000000E+000,10.5124111101229,0.000000000000000E+000,0.289441208812085,0.289441208812085,0.289441208812085,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44559354286868 
 01/01  10:00:00,1.22153050391738,11.8187792056379,0.000000000000000E+000,10.4766022020201,0.000000000000000E+000,0.288455271947655,0.288455271947655,0.288455271947655,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31791310315828 
